"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs9q01","cs9q02_a","cs9q02_b","cs9q02_c","cs9q03","cs9q04","cs9q05","cs9q06","cs9q07","cs9q08","cs9q09","cs9q10","cs9q11","cs9q12_a","cs9q12_b","cs9q13","cs9q14"
"010406088800803","01040600803",1,4,6,8,88,8,3,1,1,1,1,5,2,12,1,2,1,2,1,2,1,2008,272,10
"010408088800402","01040800402",1,4,8,8,88,4,2,1,1,1,1,3,2,7,1,1,1,1,1,1,1,2008,377,35
"010409010100306","01040900306",1,4,9,1,1,3,6,2,,,,,,,,,,,,,,,,
"010501088800105","01050100105",1,5,1,8,88,1,5,2,,,,,,,,,,,,,,,,
"010501020100105","01050100105",1,5,1,2,1,1,5,2,,,,,,,,,,,,,,,,
"010502088800201","01050200201",1,5,2,8,88,2,1,2,,,,,,,,,,,,,,,,
"010502088800712","01050200712",1,5,2,8,88,7,12,2,,,,,,,,,,,,,,,,
"010502088801503","01050201503",1,5,2,8,88,15,3,2,,,,,,,,,,,,,,,,
"010503088801501","01050301501",1,5,3,8,88,15,1,2,,,,,,,,,,,,,,,,
"010503088802304","01050302304",1,5,3,8,88,23,4,2,,,,,,,,,,,,,,,,
"010601010100224","01060100224",1,6,1,1,1,2,24,2,,,,,,,,,,,,,,,,
"010601010100303","01060100303",1,6,1,1,1,3,3,2,,,,,,,,,,,,,,,,
"010601010100315","01060100315",1,6,1,1,1,3,15,2,,,,,,,,,,,,,,,,
"010601010100423","01060100423",1,6,1,1,1,4,23,2,,,,,,,,,,,,,,,,
"010601010100532","01060100532",1,6,1,1,1,5,32,2,,,,,,,,,,,,,,,,
"010601010103701","01060103701",1,6,1,1,1,37,1,2,,,,,,,,,,,,,,,,
"010602010100113","01060200113",1,6,2,1,1,1,13,2,,,,,,,,,,,,,,,,
"010602010100519","01060200519",1,6,2,1,1,5,19,2,,,,,,,,,,,,,,,,
"020102010100102","02010200102",2,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2006,200,10
"020103088800102","02010300102",2,1,3,8,88,1,2,1,1,1,1,2,2,4,1,2,1,2,1,2,4,2006,0,0
"020103010100204","02010300204",2,1,3,1,1,2,4,1,1,1,1,0,6,3,1,2,1,2,1,2,1,2000,0,0
"020103088800601","02010300601",2,1,3,8,88,6,1,1,1,1,1,3,2,2,1,2,1,2,1,2,6,2007,0,0
"020103088800802","02010300802",2,1,3,8,88,8,2,1,1,1,1,2,3,3,1,2,1,2,1,2,6,2007,0,0
"020104088800201","02010400201",2,1,4,8,88,2,1,1,1,1,1,4,1,5,1,2,1,2,1,2,4,2008,0,0
"020105088800404","02010500404",2,1,5,8,88,4,4,1,1,1,1,2,1,11,1,2,1,2,1,2,3,2007,0,
"020105088801103","02010501103",2,1,5,8,88,11,3,1,1,1,1,1,1,5,1,2,1,2,1,1,1,2008,0,
"020106088800402","02010600402",2,1,6,8,88,4,2,1,1,1,1,3,1,4,1,2,1,1,1,2,5,2006,0,
"020301030100101","02030100101",2,3,1,3,1,1,1,1,1,2,1,2,1,4,1,2,1,2,1,2,10,2002,20,65
"020302088800102","02030200102",2,3,2,8,88,1,2,1,1,1,1,1,5,12,2,,2,,2,,,,0,0
"020304088800601","02030400601",2,3,4,8,88,6,1,1,1,1,1,3,1,5,1,2,1,2,1,2,2,2005,10,75
"020306088800601","02030600601",2,3,6,8,88,6,1,1,1,1,1,3,1,13,1,1,2,,2,,,,0,0
"030101088800204","03010100204",3,1,1,8,88,2,4,2,,,,,,,,,,,,,,,,
"030104088800901","03010400901",3,1,4,8,88,9,1,2,,,,,,,,,,,,,,,,
"030108088800701","03010800701",3,1,8,8,88,7,1,2,,,,,,,,,,,,,,,,
"030109020100112","03010900112",3,1,9,2,1,1,12,2,,,,,,,,,,,,,,,,
"030110088801806","03011001806",3,1,10,8,88,18,6,2,,,,,,,,,,,,,,,,
"030111088800102","03011100102",3,1,11,8,88,1,2,2,,,,,,,,,,,,,,,,
"030112088800203","03011200203",3,1,12,8,88,2,3,2,,,,,,,,,,,,,,,,
"030114088800816","03011400816",3,1,14,8,88,8,16,2,,,,,,,,,,,,,,,,
"030116088802804","03011602804",3,1,16,8,88,28,4,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2008,500,50
"030118010100610","03011800610",3,1,18,1,1,6,10,2,,,,,,,,,,,,,,,,
"030118010101204","03011801204",3,1,18,1,1,12,4,2,,,,,,,,,,,,,,,,
"030118010102006","03011802006",3,1,18,1,1,20,6,2,,,,,,,,,,,,,,,,
"030120020100105","03012000105",3,1,20,2,1,1,5,2,,,,,,,,,,,,,,,,
"030201088800703","03020100703",3,2,1,8,88,7,3,1,1,1,1,1,3,0,1,2,1,2,1,2,6,1997,260,25
"030202088802508","03020202508",3,2,2,8,88,25,8,2,,,,,,,,,,,,,,,,
"030204088800906","03020400906",3,2,4,8,88,9,6,2,,,,,,,,,,,,,,,,
"030205088801907","03020501907",3,2,5,8,88,19,7,1,1,1,1,1,1,6,1,2,1,2,1,2,2,2008,552,25
"030207010100110","03020700110",3,2,7,1,1,1,10,2,,,,,,,,,,,,,,,,
"030207088803703","03020703703",3,2,7,8,88,37,3,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2008,130,15
"030209010100104","03020900104",3,2,9,1,1,1,4,2,,,,,,,,,,,,,,,,
"030209088800708","03020900708",3,2,9,8,88,7,8,2,,,,,,,,,,,,,,,,
"030301088800204","03030100204",3,3,1,8,88,2,4,1,1,1,1,2,2,2,1,1,1,1,1,1,6,1998,408,19
"030302010100108","03030200108",3,3,2,1,1,1,8,2,,,,,,,,,,,,,,,,
"030302088802104","03030202104",3,3,2,8,88,21,4,1,1,1,1,2,3,5,1,2,1,2,1,2,3,2008,0,0
"030303088802404","03030302404",3,3,3,8,88,24,4,1,1,1,1,3,4,35,1,1,1,1,1,1,1,2008,,
"030304088800906","03030400906",3,3,4,8,88,9,6,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2008,0,0
"030305088801101","03030501101",3,3,5,8,88,11,1,1,1,1,1,3,6,2,1,1,1,1,1,1,1,2008,221,38
"030307088801002","03030701002",3,3,7,8,88,10,2,1,1,1,1,1,4,2,1,1,1,1,1,1,3,2008,185,26
"030308088801617","03030801617",3,3,8,8,88,16,17,1,1,1,1,5,4,12,1,2,1,2,1,2,4,2008,0,0
"030309010100308","03030900308",3,3,9,1,1,3,8,2,,,,,,,,,,,,,,,,
"030310088801701","03031001701",3,3,10,8,88,17,1,1,1,1,1,3,8,40,1,1,1,1,1,1,1,2007,545,31
"030403088801401","03040301401",3,4,3,8,88,14,1,1,1,1,1,3,4,2,1,2,1,2,1,1,1,2008,280,51
"030406088800801","03040600801",3,4,6,8,88,8,1,1,1,2,1,2,4,7,1,2,1,2,1,2,1,2008,207,20
"030409088801203","03040901203",3,4,9,8,88,12,3,1,1,1,1,1,1,15,2,,2,,1,1,3,2008,0,0
"030411088800903","03041100903",3,4,11,8,88,9,3,1,2,,2,2,3,6,1,2,1,2,1,2,12,2007,0,0
"030412010100105","03041200105",3,4,12,1,1,1,5,2,,,,,,,,,,,,,,,,
"030414088802101","03041402101",3,4,14,8,88,21,1,1,1,1,1,1,2,1,1,2,2,,1,2,1,2008,122,378
"030416088800204","03041600204",3,4,16,8,88,2,4,1,1,2,1,0,4,5,1,2,1,2,1,2,4,2006,300,50
"030418010100309","03041800309",3,4,18,1,1,3,9,2,,,,,,,,,,,,,,,,
"030418010100807","03041800807",3,4,18,1,1,8,7,2,,,,,,,,,,,,,,,,
"030501088801504","03050101504",3,5,1,8,88,15,4,2,,,,,,,,,,,,,,,,
"030504088800305","03050400305",3,5,4,8,88,3,5,2,,,,,,,,,,,,,,,,
"030507088801204","03050701204",3,5,7,8,88,12,4,2,,,,,,,,,,,,,,,,
"030508010100106","03050800106",3,5,8,1,1,1,6,2,,,,,,,,,,,,,,,,
"030509020100104","03050900104",3,5,9,2,1,1,4,1,1,1,1,20,6,15,1,1,1,1,1,1,1,2005,200,150
"030511088800307","03051100307",3,5,11,8,88,3,7,2,,,,,,,,,,,,,,,,
"030513088800702","03051300702",3,5,13,8,88,7,2,1,1,,1,2,4,4,1,1,2,,1,1,1,2008,229,66
"030515088800703","03051500703",3,5,15,8,88,7,3,2,,,,,,,,,,,,,,,,
"030521088800808","03052100808",3,5,21,8,88,8,8,1,1,1,1,3,2,3,1,1,1,1,1,1,6,2008,800,90
"030602088802603","03060202603",3,6,2,8,88,26,3,2,,,,,,,,,,,,,,,,
"030604010100202","03060400202",3,6,4,1,1,2,2,2,,,,,,,,,,,,,,,,
"030604088802001","03060402001",3,6,4,8,88,20,1,2,,,,,,,,,,,,,,,,
"030606088802103","03060602103",3,6,6,8,88,21,3,2,,,,,,,,,,,,,,,,
"030609088801807","03060901807",3,6,9,8,88,18,7,2,,,,,,,,,,,,,,,,
"030611088802207","03061102207",3,6,11,8,88,22,7,2,,,,,,,,,,,,,,,,
"030614010100105","03061400105",3,6,14,1,1,1,5,2,,,,,,,,,,,,,,,,
"030616088801207","03061601207",3,6,16,8,88,12,7,2,,,,,,,,,,,,,,,,
"030701088801406","03070101406",3,7,1,8,88,14,6,2,,,,,,,,,,,,,,,,
"030703088800105","03070300105",3,7,3,8,88,1,5,2,,,,,,,,,,,,,,,,
"030704088801302","03070401302",3,7,4,8,88,13,2,2,,,,,,,,,,,,,,,,
"030705010100105","03070500105",3,7,5,1,1,1,5,2,,,,,,,,,,,,,,,,
"030705088802405","03070502405",3,7,5,8,88,24,5,2,,,,,,,,,,,,,,,,
"030708020100211","03070800211",3,7,8,2,1,2,11,2,,,,,,,,,,,,,,,,
"030708088801402","03070801402",3,7,8,8,88,14,2,2,,,,,,,,,,,,,,,,
"030710088801703","03071001703",3,7,10,8,88,17,3,2,,,,,,,,,,,,,,,,
"030713088801304","03071301304",3,7,13,8,88,13,4,2,,,,,,,,,,,,,,,,
"030802088801503","03080201503",3,8,2,8,88,15,3,1,1,1,1,3,3,6,1,1,1,1,1,1,2,2008,64,5
"030803010100107","03080300107",3,8,3,1,1,1,7,1,1,1,2,6,4,6,1,1,1,1,1,1,6,2008,73,3
"030803088800603","03080300603",3,8,3,8,88,6,3,1,1,1,1,1,4,5,2,,1,2,1,2,3,2008,70,8
"030804088800503","03080400503",3,8,4,8,88,5,3,1,1,1,2,2,1,3,1,2,1,2,1,1,3,2008,84,7
"030901088801202","03090101202",3,9,1,8,88,12,2,2,,,,,,,,,,,,,,,,
"030902088802501","03090202501",3,9,2,8,88,25,1,2,,,,,,,,,,,,,,,,
"030902088803201","03090203201",3,9,2,8,88,32,1,2,,,,,,,,,,,,,,,,
"030903080100101","03090300101",3,9,3,8,1,1,1,2,,,,,,,,,,,,,,,,
"030904088800702","03090400702",3,9,4,8,88,7,2,2,,,,,,,,,,,,,,,,
"030905088801102","03090501102",3,9,5,8,88,11,2,2,,,,,,,,,,,,,,,,
"030906020100105","03090600105",3,9,6,2,1,1,5,2,,,,,,,,,,,,,,,,
"031001088801106","03100101106",3,10,1,8,88,11,6,2,,,,,,,,,,,,,,,,
"031002088801601","03100201601",3,10,2,8,88,16,1,1,1,1,1,1,1,10,2,,2,,1,1,1,2008,0,0
"031004010100103","03100400103",3,10,4,1,1,1,3,2,,,,,,,,,,,,,,,,
"031004088800408","03100400408",3,10,4,8,88,4,8,1,1,1,2,1,1,7,1,1,1,1,1,1,11,2007,695,20
"031101010100318","03110100318",3,11,1,1,1,3,18,2,,,,,,,,,,,,,,,,
"031101010100719","03110100719",3,11,1,1,1,7,19,2,,,,,,,,,,,,,,,,
"031101010101201","03110101201",3,11,1,1,1,12,1,2,,,,,,,,,,,,,,,,
"031201088800101","03120100101",3,12,1,8,88,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,4,2008,0,0
"031201088800303","03120100303",3,12,1,8,88,3,3,1,1,1,1,13,5,65,1,2,1,2,1,2,2,2008,250,50
"031201088800504","03120100504",3,12,1,8,88,5,4,1,1,1,1,3,9,2,1,2,1,2,1,2,2,2008,50,10
"040101088802202","04010102202",4,1,1,8,88,22,2,2,,,,,,,,,,,,,,,,
"040106088801302","04010601302",4,1,6,8,88,13,2,2,,,,,,,,,,,,,,,,
"040113088800501","04011300501",4,1,13,8,88,5,1,2,,,,,,,,,,,,,,,,
"040116020100103","04011600103",4,1,16,2,1,1,3,2,,,,,,,,,,,,,,,,
"040117010100211","04011700211",4,1,17,1,1,2,11,2,,,,,,,,,,,,,,,,
"040118088802402","04011802402",4,1,18,8,88,24,2,2,,,,,,,,,,,,,,,,
"040204088801105","04020401105",4,2,4,8,88,11,5,2,,,,,,,,,,,,,,,,
"040210088801102","04021001102",4,2,10,8,88,11,2,2,,,,,,,,,,,,,,,,
"040214010200204","04021400204",4,2,14,1,2,2,4,2,,,,,,,,,,,,,,,,
"040214088801801","04021401801",4,2,14,8,88,18,1,2,,,,,,,,,,,,,,,,
"040302088801803","04030201803",4,3,2,8,88,18,3,2,,,,,,,,,,,,,,,,
"040308010100108","04030800108",4,3,8,1,1,1,8,2,,,,,,,,,,,,,,,,
"040308088800401","04030800401",4,3,8,8,88,4,1,2,,,,,,,,,,,,,,,,
"040314088800602","04031400602",4,3,14,8,88,6,2,2,,,,,,,,,,,,,,,,
"040321010100214","04032100214",4,3,21,1,1,2,14,2,,,,,,,,,,,,,,,,
"040401088801103","04040101103",4,4,1,8,88,11,3,2,,,,,,,,,,,,,,,,
"040405088801902","04040501902",4,4,5,8,88,19,2,2,,,,,,,,,,,,,,,,
"040410088800701","04041000701",4,4,10,8,88,7,1,2,,,,,,,,,,,,,,,,
"040412010100104","04041200104",4,4,12,1,1,1,4,2,,,,,,,,,,,,,,,,
"040414088801702","04041401702",4,4,14,8,88,17,2,2,,,,,,,,,,,,,,,,
"040503088803104","04050303104",4,5,3,8,88,31,4,2,,,,,,,,,,,,,,,,
"040508088803103","04050803103",4,5,8,8,88,31,3,2,,,,,,,,,,,,,,,,
"040512010100104","04051200104",4,5,12,1,1,1,4,2,,,,,,,,,,,,,,,,
"040513088802405","04051302405",4,5,13,8,88,24,5,2,,,,,,,,,,,,,,,,
"040520010100113","04052000113",4,5,20,1,1,1,13,2,,,,,,,,,,,,,,,,
"040601020100102","04060100102",4,6,1,2,1,1,2,2,,,,,,,,,,,,,,,,
"040601088802303","04060102303",4,6,1,8,88,23,3,2,,,,,,,,,,,,,,,,
"040605088801004","04060501004",4,6,5,8,88,10,4,2,,,,,,,,,,,,,,,,
"040608088801902","04060801902",4,6,8,8,88,19,2,2,,,,,,,,,,,,,,,,
"040701088801502","04070101502",4,7,1,8,88,15,2,2,,,,,,,,,,,,,,,,
"040704088801002","04070401002",4,7,4,8,88,10,2,2,,,,,,,,,,,,,,,,
"040707010100104","04070700104",4,7,7,1,1,1,4,2,,,,,,,,,,,,,,,,
"040707088802702","04070702702",4,7,7,8,88,27,2,2,,,,,,,,,,,,,,,,
"040712088802302","04071202302",4,7,12,8,88,23,2,2,,,,,,,,,,,,,,,,
"040713010100209","04071300209",4,7,13,1,1,2,9,2,,,,,,,,,,,,,,,,
"040806088800802","04080600802",4,8,6,8,88,8,2,2,,,,,,,,,,,,,,,,
"040808010100107","04080800107",4,8,8,1,1,1,7,2,,,,,,,,,,,,,,,,
"040812088802401","04081202401",4,8,12,8,88,24,1,2,,,,,,,,,,,,,,,,
"040817088802801","04081702801",4,8,17,8,88,28,1,2,,,,,,,,,,,,,,,,
"040825010100102","04082500102",4,8,25,1,1,1,2,2,,,,,,,,,,,,,,,,
"040901088800304","04090100304",4,9,1,8,88,3,4,1,1,1,1,3,3,5,1,2,1,2,1,2,5,2008,30,20
"040907088800105","04090700105",4,9,7,8,88,1,5,1,1,1,1,4,1,8,1,2,1,2,1,1,4,2008,1800,25
"040909010100105","04090900105",4,9,9,1,1,1,5,2,,,,,,,,,,,,,,,,
"040910088801104","04091001104",4,9,10,8,88,11,4,1,1,1,1,2,2,6,1,,1,2,1,2,,,46,11
"040913088801004","04091301004",4,9,13,8,88,10,4,1,1,1,1,3,1,8,1,2,1,2,1,2,,,74,30
"040914010100212","04091400212",4,9,14,1,1,2,12,2,,,,,,,,,,,,,,,,
"041005088800403","04100500403",4,10,5,8,88,4,3,1,1,1,1,7,7,25,1,2,1,2,1,2,3,1998,250,70
"041009088803605","04100903605",4,10,9,8,88,36,5,2,,,,,,,,,,,,,,,,
"041013088802203","04101302203",4,10,13,8,88,22,3,1,1,1,1,2,1,7,1,2,1,2,1,2,12,2007,150,38
"041016088800104","04101600104",4,10,16,8,88,1,4,2,,,,,,,,,,,,,,,,
"041104088801304","04110401304",4,11,4,8,88,13,4,2,,,,,,,,,,,,,,,,
"041108088801402","04110801402",4,11,8,8,88,14,2,2,,,,,,,,,,,,,,,,
"041112088800402","04111200402",4,11,12,8,88,4,2,1,1,1,1,5,3,3,1,2,1,2,2,,,,0,0
"041116088801404","04111601404",4,11,16,8,88,14,4,2,,,,,,,,,,,,,,,,
"041118088800102","04111800102",4,11,18,8,88,1,2,2,,,,,,,,,,,,,,,,
"041119010100317","04111900317",4,11,19,1,1,3,17,2,,,,,,,,,,,,,,,,
"041206088802801","04120602801",4,12,6,8,88,28,1,2,,,,,,,,,,,,,,,,
"041211088801301","04121101301",4,12,11,8,88,13,1,2,,,,,,,,,,,,,,,,
"041216088800101","04121600101",4,12,16,8,88,1,1,2,,,,,,,,,,,,,,,,
"041302088801103","04130201103",4,13,2,8,88,11,3,2,,,,,,,,,,,,,,,,
"041305010100102","04130500102",4,13,5,1,1,1,2,2,,,,,,,,,,,,,,,,
"041306088800204","04130600204",4,13,6,8,88,2,4,2,,,,,,,,,,,,,,,,
"041309088801003","04130901003",4,13,9,8,88,10,3,2,,,,,,,,,,,,,,,,
"041314010100306","04131400306",4,13,14,1,1,3,6,2,,,,,,,,,,,,,,,,
"041402088802701","04140202701",4,14,2,8,88,27,1,2,,,,,,,,,,,,,,,,
"041405088801906","04140501906",4,14,5,8,88,19,6,2,,,,,,,,,,,,,,,,
"041409088800501","04140900501",4,14,9,8,88,5,1,2,,,,,,,,,,,,,,,,
"041501010100115","04150100115",4,15,1,1,1,1,15,2,,,,,,,,,,,,,,,,
"041501010100331","04150100331",4,15,1,1,1,3,31,2,,,,,,,,,,,,,,,,
"041501010100524","04150100524",4,15,1,1,1,5,24,2,,,,,,,,,,,,,,,,
"041501010100918","04150100918",4,15,1,1,1,9,18,2,,,,,,,,,,,,,,,,
"041501010101124","04150101124",4,15,1,1,1,11,24,2,,,,,,,,,,,,,,,,
"041501010101430","04150101430",4,15,1,1,1,14,30,2,,,,,,,,,,,,,,,,
"041601010100603","04160100603",4,16,1,1,1,6,3,2,,,,,,,,,,,,,,,,
"041601010101109","04160101109",4,16,1,1,1,11,9,2,,,,,,,,,,,,,,,,
"041703088801901","04170301901",4,17,3,8,88,19,1,2,,,,,,,,,,,,,,,,
"041706010100124","04170600124",4,17,6,1,1,1,24,2,,,,,,,,,,,,,,,,
"041707088800204","04170700204",4,17,7,8,88,2,4,2,,,,,,,,,,,,,,,,
"041711010100202","04171100202",4,17,11,1,1,2,2,2,,,,,,,,,,,,,,,,
"041711010100511","04171100511",4,17,11,1,1,5,11,2,,,,,,,,,,,,,,,,
"041712088800807","04171200807",4,17,12,8,88,8,7,2,,,,,,,,,,,,,,,,
"041803088801004","04180301004",4,18,3,8,88,10,4,2,,,,,,,,,,,,,,,,
"041807088801106","04180701106",4,18,7,8,88,11,6,2,,,,,,,,,,,,,,,,
"041901088800103","04190100103",4,19,1,8,88,1,3,2,,,,,,,,,,,,,,,,
"041904088800101","04190400101",4,19,4,8,88,1,1,2,,,,,,,,,,,,,,,,
"041908088800704","04190800704",4,19,8,8,88,7,4,2,,,,,,,,,,,,,,,,
"050101088800902","05010100902",5,1,1,8,88,9,2,1,1,2,1,3,1,10,1,2,1,2,1,2,12,2007,0,0
"050102010100101","05010200101",5,1,2,1,1,1,1,1,1,2,1,6,1,12,1,2,1,2,1,2,12,2007,0,0
"050102088802401","05010202401",5,1,2,8,88,24,1,2,,,,,,,,,,,,,,,,
"050103088801101","05010301101",5,1,3,8,88,11,1,2,,,,,,,,,,,,,,,,
"050104088801102","05010401102",5,1,4,8,88,11,2,1,1,1,1,4,1,6,1,1,1,1,1,1,3,2008,0,0
"050104088801701","05010401701",5,1,4,8,88,17,1,1,1,1,2,5,2,4,1,2,1,2,1,1,3,2008,0,0
"050202088800102","05020200102",5,2,2,8,88,1,2,1,2,1,2,2,2,17,1,2,1,2,1,2,5,2008,10,15
"050202088801001","05020201001",5,2,2,8,88,10,1,1,1,1,1,1,2,14,2,,2,,1,2,2,2008,0,0
"050204010100624","05020400624",5,2,4,1,1,6,24,2,,,,,,,,,,,,,,,,
"050204088808901","05020408901",5,2,4,8,88,89,1,2,,,,,,,,,,,,,,,,
"050204088816502","05020416502",5,2,4,8,88,165,2,1,2,1,1,1,2,11,1,2,1,2,1,2,5,2008,0,0
"050206010100202","05020600202",5,2,6,1,1,2,2,2,,,,,,,,,,,,,,,,
"050206010100310","05020600310",5,2,6,1,1,3,10,2,,,,,,,,,,,,,,,,
"050206088800901","05020600901",5,2,6,8,88,9,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,2003,0,0
"050206088802801","05020602801",5,2,6,8,88,28,1,2,,,,,,,,,,,,,,,,
"050206088803803","05020603803",5,2,6,8,88,38,3,1,1,1,1,2,1,90,2,,2,,1,2,2,2006,0,0
"050207088804801","05020704801",5,2,7,8,88,48,1,1,1,1,1,2,2,26,2,,2,,1,2,5,2008,0,0
"050207088809201","05020709201",5,2,7,8,88,92,1,1,1,1,1,10,1,60,1,2,1,2,1,1,3,2008,0,0
"050901088800907","05090100907",5,9,1,8,88,9,7,2,,,,,,,,,,,,,,,,
"050901088802802","05090102802",5,9,1,8,88,28,2,1,1,1,1,10,0,10,1,2,1,2,2,,,,0,0
"050902088801201","05090201201",5,9,2,8,88,12,1,1,1,1,1,1,0,7,1,2,1,2,1,2,3,2006,0,0
"050903088802001","05090302001",5,9,3,8,88,20,1,1,1,2,2,2,1,0,1,2,1,2,1,2,6,2003,0,0
"050903088802602","05090302602",5,9,3,8,88,26,2,1,1,1,1,6,1,0,1,2,1,1,1,1,1,2008,0,0
"050903088803404","05090303404",5,9,3,8,88,34,4,2,,,,,,,,,,,,,,,,
"050904010100101","05090400101",5,9,4,1,1,1,1,1,1,1,1,,5,2,1,2,1,1,1,1,,2006,15,10
"050904088800302","05090400302",5,9,4,8,88,3,2,1,1,1,1,1,1,5,1,1,1,1,1,1,5,2006,17,15
"060201088800802","06020100802",6,2,1,8,88,8,2,2,,,,,,,,,,,,,,,,
"060204088800402","06020400402",6,2,4,8,88,4,2,2,,,,,,,,,,,,,,,,
"060207088801002","06020701002",6,2,7,8,88,10,2,2,,,,,,,,,,,,,,,,
"060301088800301","06030100301",6,3,1,8,88,3,1,2,,,,,,,,,,,,,,,,
"060303088804202","06030304202",6,3,3,8,88,42,2,2,,,,,,,,,,,,,,,,
"060305010100102","06030500102",6,3,5,1,1,1,2,2,,,,,,,,,,,,,,,,
"060305088803003","06030503003",6,3,5,8,88,30,3,2,,,,,,,,,,,,,,,,
"060402088800801","06040200801",6,4,2,8,88,8,1,2,,,,,,,,,,,,,,,,
"060405088800203","06040500203",6,4,5,8,88,2,3,2,,,,,,,,,,,,,,,,
"060608088800402","06060800402",6,6,8,8,88,4,2,2,,,,,,,,,,,,,,,,
"060608088801401","06060801401",6,6,8,8,88,14,1,2,,,,,,,,,,,,,,,,
"070103088800404","07010300404",7,1,3,8,88,4,4,2,,,,,,,,,,,,,,,,
"070105088802502","07010502502",7,1,5,8,88,25,2,2,,,,,,,,,,,,,,,,
"070108088800701","07010800701",7,1,8,8,88,7,1,2,,,,,,,,,,,,,,,,
