"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs4q01","cs4q02_1","cs4q03","cs4q04_1","cs4q04_2","cs4q04_3","cs4q04_4","cs4q04_5","cs4q04_6","cs4q04_7","cs4q04_8","cs4q04_9","cs4q04_10","cs4q04_11","cs4q04_12","cs4q05_1","cs4q05_2","cs4q05_3","cs4q05_4","cs4q05_5","cs4q05_6","cs4q05_7","cs4q05_8","cs4q05_9","cs4q05_10","cs4q05_11","cs4q05_12","cs4q06","cs4q07_a","cs4q07_b","cs4q08","cs4q09","cs4q10","cs4q11","cs4q12_a","cs4q12_b1","cs4q13","cs4q14","cs4q15","cs4q16","cs4q17","cs4q18","cs4q19","cs4q20","cs4q21","cs4q22","cs4q23","cs4q24","cs4q25","cs4q26","cs4q27","cs4q28","cs4q29","cs4q30","cs4q31","cs4q32","cs4q33","cs4q34","cs4q34_oth","cs4q35","cs4q36","cs4q37","cs4q38","cs4q39","cs4q40","cs4q40_oth","cs4q41","cs4q42","cs4q43","cs4q44_a","cs4q44_b","cs4q44_c","cs4q44_d","cs4q44_e","cs4q44_f","cs4q44_oth","cs4q45","cs4q46","cs4q47","cs4q48","cs4q49","cs4q50","cs4q51","csdq52","csdq53","csdq54","csdq55","csdq56","csdq57","csdq58","csdq59"
"010202020100107","01020200107",1,2,2,2,1,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,,,2,"Axum",67,25,1,,,,1,2,1,1,1,0,1,0,0,0,0,1,,2,,,,,,1,1,1,,1,,2,,2,,,,,,,,1,,1,,1,3,1200,1,,1,,2,0,1,
"010202088800802","01020200802",1,2,2,8,88,8,2,4,5,1,13,,,,,,,,,,,,13,,,,,,,,,,,,13,20,3,2,13,10,2,"AXISUM",62,30,1,5,,,9,0,4,1,1,13,1,0,0,0,0,2,5,1,,1,1,,1,2,,,13,1,,1,0,2,,,,,,,,2,13,2,13,2,,,2,13,1,,2,,1,3
"010203088801001","01020301001",1,2,3,8,88,10,1,4,55,1,5,,,,,,,,,,,,5,,,,,,,,,,,,55,2,1,2,63,25,2,"AXISUM",120,53,1,7,,,11,0,0,1,2,17,1,0,0,0,0,1,,2,17,1,1,,1,2,,,17,1,,2,,2,,,,,,,,2,17,2,17,2,,,2,63,1,,2,,2,120
"010204088801702","01020401702",1,2,4,8,88,17,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,10,2,2,26,15,2,"AXISUM",,25,2,26,,,6,0,0,1,1,6,1,0,0,0,0,2,5,1,,1,1,,1,2,,,5,1,,2,,2,,,,,,,,2,26,2,26,2,,,2,26,1,,2,26,2,26
"010206088801301","01020601301",1,2,6,8,88,13,1,3,28,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,3,3,2,30,20,2,"AXISUM",30,15,1,,,,5,3,0,1,1,5,1,0,0,0,0,1,,1,,1,1,,1,2,,,30,1,,2,,1,2,1,1,1,2,2,,2,10,1,,2,,,2,30,1,,2,30,2,30
"010207010100101","01020700101",1,2,7,1,1,1,1,3,33,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,2,2,1,,,2,"AXISUM",35,22,1,,,,1,1,0,1,1,0,1,0,0,0,0,1,,1,,1,1,,1,1,1,1,,1,,2,,2,,,,,,,,1,,1,,1,20,1600,2,35,1,,2,,2,35
"010208088800603","01020800603",1,2,8,8,88,6,3,4,7,1,13,,,,,,,,,,,,13,,,,,,,,,,,,7,10,1,2,15,10,2,"MEKELE",90,50,1,,,,7,0,6,1,2,15,1,1,0,0,0,1,,1,,1,1,,1,1,1,1,,1,,1,0,1,1,2,2,1,1,,,2,15,2,15,1,500,5000,2,15,1,,2,15,2,15
"010209088800602","01020900602",1,2,9,8,88,6,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,4,15,1,2,4,10,2,"MEKELE",50,20,2,4,,,13,0,1.5,1,1,4,1,1,0,0,0,1,,1,,1,1,,1,1,1,1,,1,,2,,2,,,,,,,,2,4,1,,1,999,999999,2,4,1,,2,4,2,4
"010212010100416","01021200416",1,2,12,1,1,4,16,4,1,2,6,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,1,2,2,3,2,"axum",25,10,2,2,,,4,2,0,1,1,0,1,0,0,0,0,1,,2,,,,,,1,1,1,,1,,2,,1,2,1,2,1,1,2,,2,2,2,2,1,7,600,2,2,2,2,2,30,1,
"010301088800204","01030100204",1,3,1,8,88,2,4,2,14,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,3,3,2,25,10,2,"ADIGRAT",25,15,1,5,,,8,,15,1,1,3,1,3,1,,,1,,1,,1,1,,1,1,1,1,,1,,1,0,1,1,1,1,1,1,,,2,5,1,,2,500,0,2,25,1,,2,25,2,25
"010303010100111","01030300111",1,3,3,1,1,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,2,17,6,2,"adigrat",20,8,1,,,,1,1,0,1,1,0,1,0,0,1,0,1,,2,,,,,,1,1,1,,1,,2,,1,2,1,1,1,1,2,,1,,1,,1,5,450,1,,1,,2,0,2,20
"010303088800605","01030300605",1,3,3,8,88,6,5,4,14,1,0,,,,,,,,,,,,0,,,,,,,,,,,,0,5,3,2,38,17,2,"ADIGRAT",30,18,1,14,,,8,0,2,1,1,14,1,0,0,0,0,1,5,1,,1,1,,1,1,1,1,,1,,2,,2,,,,,,,,2,14,1,14,1,999,1000,2,23,1,,2,,2,30
"010304088800101","01030400101",1,3,4,8,88,1,1,1,10,1,13,,,,,,,,,,,,13,,,,,,,,,,,,5,7,2,2,37,25,2,"ADIGRAT",37,25,2,5,,,7,1,0,1,1,5,1,0,0,0,0,2,5,1,,1,1,,1,2,,,5,1,,1,0,1,1,1,2,2,2,2,,2,5,1,,2,5,,2,37,1,,2,5,2,37
"010305088801202","01030501202",1,3,5,8,88,12,2,1,0,1,13,,,,,,,,,,,,1,2,3,4,5,12,,,,,,,6,21,1,2,6,10,2,"ADIGRAT",43,14,2,6,,,5,0,0,1,1,6,1,0,0,0,0,1,,1,,1,1,,1,2,,,6,1,,1,0,2,,,,,,,,2,,2,,2,,,2,43,1,,2,6,2,6
"010306088800608","01030600608",1,3,6,8,88,6,8,1,0,1,13,,,,,,,,,,,,1,2,3,4,5,6,12,,,,,,7,117,1,2,7,12,2,"MEKELE",54,16,2,7,,,10,0,0,1,2,7,1,0,0,0,0,1,,1,,1,1,,2,2,,,7,1,,1,0,2,,,,,,,,2,7,2,7,2,,,2,7,1,,2,7,2,7
"010307088800116","01030700116",1,3,7,8,88,1,16,4,24,1,13,,,,,,,,,,,,1,2,3,4,5,12,,,,,,,0,29,2,1,,,2,"MEKELE",71,28,1,,,,2,2,0,1,1,0,1,0,0,0,0,1,,,,,,,,1,1,1,,1,,2,,1,1,1,1,1,1,2,,1,,1,,1,7,2500,2,24,2,5,1,,1,
"010307088800709","01030700709",1,3,7,8,88,7,9,4,29,1,13,,,,,,,,,,,,1,2,3,4,5,12,,,,,,,5,29,2,2,5,12,2,"MEKELE",76,28,2,5,,,9,0,0,1,1,5,1,0,0,0,0,1,,1,,1,1,,2,2,,,5,1,,1,0,2,,,,,,,,2,5,2,5,2,,,2,29,1,,2,5,2,5
"010309010100101","01030900101",1,3,9,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,3,1,,,2,"mekelle",45,15,1,,,,2,3,0,1,1,0,1,1,0,0,0,1,,2,,,,,,1,1,1,,1,,2,,1,1,1,1,1,1,2,,1,,1,,1,10,1500,1,,2,1,2,45,2,45
"010401088801204","01040101204",1,4,1,8,88,12,4,4,71,2,0,,,,,,,,,,,,0,,,,,,,,,,,,11,2,2,2,37,20,2,"MEKELE",71,25,2,11,,,9,0,0,1,2,11,1,0,0,0,0,2,11,1,,1,1,,2,2,,,11,1,,1,0,1,1,1,1,1,1,2,,2,11,1,,2,,,2,11,1,,2,11,1,
"010403020100109","01040300109",1,4,3,2,1,1,9,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,8,2,1,,,2,"MEKELE",35,15,1,,,,3,1,0,1,1,0,1,0,0,0,0,1,,,15,1,1,,1,1,1,1,,1,,1,0,1,1,2,2,2,2,,,1,,1,,1,30,3550,2,35,1,,2,35,2,35
"010403088800404","01040300404",1,4,3,8,88,4,4,2,15,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,4,3,2,15,15,2,"MEKELE",52,30,1,,,,14,0,0,1,1,15,1,0,0,0,0,2,15,1,,3,1,,1,2,,,15,1,,1,0,1,1,1,2,2,1,,,2,15,2,15,2,,,2,52,1,,2,52,2,52
"010404088800103","01040400103",1,4,4,8,88,1,3,4,37,2,0,,,,,,,,,,,,0,,,,,,,,,,,,6,1,3,2,31,6,2,"MAICHEW",61,35,2,6,,,4,0,2,1,2,6,1,0,0,0,0,1,,1,,3,1,,2,2,,,37,1,,1,0,1,1,2,1,1,1,,,2,37,2,6,2,,,2,31,2,1,2,6,2,6
"010405088800701","01040500701",1,4,5,8,88,7,1,3,32,2,0,,,,,,,,,,,,0,,,,,,,,,,,,9,7,3,2,32,30,2,"MAICHEW",32,30,2,9,,,7,0,0,1,2,9,1,0,0,0,0,2,9,1,,1,1,,2,2,,,9,1,,2,,2,,,,,,,,2,32,2,9,2,,,2,32,1,,2,32,2,32
"010406088800803","01040600803",1,4,6,8,88,8,3,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,3,2,2,20,10,2,"MAICHEW",38,20,1,,,,2,70,0,1,1,20,1,0,0,0,0,1,,1,,1,1,,1,1,1,1,,1,,1,0,1,1,1,1,1,1,,,2,20,1,,1,100,2000,2,20,1,,2,20,2,20
"010408088800402","01040800402",1,4,8,8,88,4,2,4,16,1,13,,,,,,,,,,,,13,,,,,,,,,,,,16,20,2,2,16,20,2,"MAYCHEW",46,35,2,16,,,7,0,0,1,1,16,1,0,0,0,0,2,16,1,,1,1,,1,2,,,16,1,,2,,2,,,,,,,,2,16,2,12,2,,,2,34,1,,2,16,2,34
"010409010100306","01040900306",1,4,9,1,1,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,1,,,1,,,,2,3,,,0,1,0,1,1,3,1,1,0,2,0,1,,2,,,,,,1,1,1,,3,,2,,1,1,1,2,1,1,2,,2,1,2,1,2,,,1,,2,2,2,0,1,
"010501088800105","01050100105",1,5,1,8,88,1,5,4,20,1,13,,,,,,,,,,,,2,3,4,5,6,7,8,9,,,,,0,5,2,2,30,15,2,"HUMERA",30,15,2,30,,,2,1,0,1,2,30,1,0,0,0,0,1,,,,,,,,1,1,2,,1,,1,0,2,,,,,,,,2,30,2,12,1,40,10000,2,30,1,,1,,2,30
"010501020100105","01050100105",1,5,1,2,1,1,5,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,15,1,2,16,10,2,"16",,10,2,0,,,1,0,0,2,1,0,1,0,0,0,0,1,,2,18,1,1,,1,1,1,1,,1,,1,0,1,1,2,2,1,2,,,1,,1,,1,12,1500,1,,1,,2,16,2,16
"010502088800201","01050200201",1,5,2,8,88,2,1,4,7,1,13,,,,,,,,,,,,13,,,,,,,,,,,,35,10,3,2,70,45,2,"HUMERA",160,70,1,,,,1,1,0,1,2,35,2,0,0,0,0,1,,1,,1,1,,2,2,,,35,1,,1,0,2,,,,,,,,2,70,2,70,2,,,2,160,1,,2,160,2,45
"010502088800712","01050200712",1,5,2,8,88,7,12,1,12,1,13,,,,,,,,,,,,13,,,,,,,,,,,,12,3,2,2,20,20,2,"HUMERA",1237,50,1,,,,10,1,0,1,2,20,1,0,0,0,0,2,12,2,12,1,1,,2,1,2,,20,1,,2,,2,,,,,,,,2,20,2,20,2,,,2,123,1,,2,123,2,123
"010502088801503","01050201503",1,5,2,8,88,15,3,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,2,2,2,14,10,2,"HUMERA",137,60,1,,,,9,1,0,1,2,14,1,0,0,0,0,1,,1,,1,1,,2,2,,,14,1,,2,,2,,,,,,,,2,14,2,14,2,,,2,137,1,,2,137,2,137
"010503088801501","01050301501",1,5,3,8,88,15,1,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,4,2,2,79,50,2,"HUMERA",112,59,1,,,,5,1,0,1,2,17,1,3,0,0,0,1,,1,,1,1,,2,2,,,17,1,,1,0,2,,,,,,,,2,17,2,17,2,,,2,117,1,,2,17,2,117
"010503088802304","01050302304",1,5,3,8,88,23,4,2,27,1,13,,,,,,,,,,,,13,,,,,,,,,,,,27,10,1,2,50,30,2,"HUMERA",205,83,1,,,,5,0,0,1,2,27,1,0,0,0,0,2,27,1,,1,1,,2,2,,,27,1,,2,,2,,,,,,,,2,27,2,27,2,,,2,205,1,,2,205,2,205
"010601010100224","01060100224",1,6,1,1,1,2,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,1,,,1,,,,2,1,,,1,0,0,1,1,0,1,1,0,0,0,1,,2,,,,,,1,1,2,,3,,2,,1,1,1,1,1,1,2,,1,,1,,2,,,1,,2,1,2,10,1,
"010601010100303","01060100303",1,6,1,1,1,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70,3,1,,,1,,,,2,1,,,1,1,0,1,1,0,1,0,0,3,2,1,,2,,,,,,2,,,2,1,,2,,2,,,,,,,,2,1,2,1,1,4,1100,2,1,2,1,2,1,2,4
"010601010100315","01060100315",1,6,1,1,1,3,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,1,,,1,,,,1,,,,1,0,0,1,1,0,1,1,0,0,0,1,,2,,,,,,2,,,1,3,,2,,1,1,1,1,1,1,2,,1,,1,,1,5,200,1,,1,,2,0,2,1
"010601010100423","01060100423",1,6,1,1,1,4,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,,,1,,,,1,,,,2,0,1,1,1,1,1,1,1,0,0,1,,2,,,,,,2,,,1,1,,2,,1,2,1,1,2,2,2,,1,,2,1,1,5,2250,1,,2,6,1,,2,1
"010601010100532","01060100532",1,6,1,1,1,5,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,1,2,1,2,1,,,,1,,,,6,1,0,1,1,0,1,0,0,0,0,1,,2,,,,,,1,1,1,,1,,2,,1,1,1,1,1,1,2,,1,,1,,1,5,700,1,,1,,2,0,1,
"010601010103701","01060103701",1,6,1,1,1,37,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,3,1,,,1,,,,2,3,,,1,1,0,1,1,3,1,0,0,0,0,1,,2,,,,,,2,,,1,1,,2,,2,,,,,,,,1,,2,2,1,10,1500,2,2,2,1,2,1,2,6
"010602010100113","01060200113",1,6,2,1,1,1,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,2,1,2,1,,,,2,1,,,1,0,0,1,1,1,1,0,0,0,0,2,2,2,,,,,,2,,,1,3,,2,,2,,,,,,,,2,1,2,1,1,100,200,2,1,2,1,2,30,2,1
"010602010100519","01060200519",1,6,2,1,1,5,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,,,2,"""meklle """,10,4,1,,,,1,1,0,1,1,1,1,0,0,1,0,1,,2,,,,,,2,,,1,1,,2,,2,,,,,,,,2,1,2,1,1,50,300,2,1,2,1,2,9,2,10
"020102010100102","02010200102",2,1,2,1,1,1,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,10,2,2,60,60,2,"SEMERA",65,30,2,65,,,2,5,0,1,1,60,1,0,0,0,0,1,,2,40,1,1,,1,2,,,65,1,,2,,1,1,1,1,1,1,2,,1,,2,65,1,999,6000,2,65,2,65,2,65,2,65
"020103088800102","02010300102",2,1,3,8,88,1,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,22,8,2,2,22,15,2,"ASAITA",22,15,2,22,,,0,4,0,1,2,22,1,0,0,0,0,1,,1,,1,1,,2,2,,,22,1,,1,0,1,2,2,2,1,2,2,,2,22,2,22,2,,,2,22,2,22,2,51,2,51
"020103010100204","02010300204",2,1,3,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,,,1,,,,2,1,,,1,5,0,1,1,1,1,0,0,0,0,1,,2,,,,,,1,1,1,,1,,1,0,1,1,1,1,1,1,2,,1,,1,,1,10,1000,2,1,1,,2,70,2,70
"020103088800601","02010300601",2,1,3,8,88,6,1,4,1,1,13,,,,,,,,,,,,13,,,,,,,,,,,,1,3,2,2,1,5,2,"AISAEIT",1,5,2,1,,,0,6,0,1,1,1,1,0,0,0,0,1,,1,,1,1,,2,2,,,1,1,,1,0,2,,,,,,,,2,1,2,1,2,,,2,1,2,1,2,75,2,75
"020103088800802","02010300802",2,1,3,8,88,8,2,3,8,1,13,,,,,,,,,,,,13,,,,,,,,,,,,6,3,2,2,9,10,2,"ASAITA",9,10,2,9,,,0,12,1,1,2,8.5,1,0,0,0,0,1,,1,,1,1,,2,2,,,10,1,,1,0,2,,,,,,,,2,9,2,9,2,,,2,9,2,9,2,87,2,87
"020104088800201","02010400201",2,1,4,8,88,2,1,2,15,1,13,,,,,,,,,,,,13,,,,,,,,,,,,0,3,2,1,,,2,"AISAITA",17,10,2,17,,,0,10,0,1,1,17,1,0,0,0,0,1,,1,,1,1,,2,1,1,1,,1,,1,0,2,,,,,,,,2,17,2,17,2,,,2,17,1,,2,87,2,87
"020105088800404","02010500404",2,1,5,8,88,4,4,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,22,4,2,2,26,20,2,"HAMERA",52,23,2,26,,,0,4,0,1,2,26,1,0,0,0,0,1,,1,,3,1,,2,2,2,,23,4,,1,0,2,,,,,,,,2,26,2,26,1,999,2000,2,42,1,42,2,52,2,52
"020105088801103","02010501103",2,1,5,8,88,11,3,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,30,15,2,2,47,20,2,"SEMERA",145,85,1,,,,0,2,0,1,2,20,2,0,0,0,0,1,,1,,1,1,,2,1,1,1,,1,,1,0,2,,,,,,,,2,30,2,30,1,999,6000,1,,2,145,2,145,2,145
"020106088800402","02010600402",2,1,6,8,88,4,2,4,10,2,13,,,,,,,,,,,,13,,,,,,,,,,,,12,8,3,2,12,10,2,"SEMERA",185,83,2,12,,,0,1,0,1,2,12,1,0,0,0,0,1,,2,5,1,1,,2,2,,,12,1,,1,0,2,,,,,,,,2,12,2,175,1,500,2300,2,175,2,175,2,62,2,62
"020301030100101","02030100101",2,3,1,3,1,1,1,4,8,1,3,4,5,6,7,8,9,10,,,,,13,,,,,,,,,,,,4,8,3,2,8,20,2,"ADEBTOLI/BERTA",8,20,2,4,,,3,5,0,1,1,4,1,0,0,0,0,1,,1,,1,1,,1,2,2,,5,1,,1,0,2,,,,,,,,2,60,2,8,1,500,8000,2,60,2,8,2,60,2,60
"020302088800102","02030200102",2,3,2,8,88,1,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,2,6,2,2,25,30,2,"BERTA",35,40,2,25,,,0,3,1,1,2,10,1,0,0,0,0,1,,1,,1,1,,2,2,,,12,1,,1,0,2,,,,,,,,2,25,2,25,2,,,2,25,2,25,2,112,2,112
"020304088800601","02030400601",2,3,4,8,88,6,1,4,38,2,4,5,6,7,8,9,,,,,,,2,3,4,5,6,7,8,9,,,,,30,3,3,2,30,40,2,"ADEBTOLA /BERTA",38,60,1,,,,0,3,0,1,1,30,1,0,0,0,0,1,,1,,2,1,,2,2,,,30,1,,1,0,2,,,,,,,,2,100,2,30,2,,,2,100,2,30,2,100,2,100
"020306088800601","02030600601",2,3,6,8,88,6,1,3,40,2,13,,,,,,,,,,,,13,,,,,,,,,,,,40,1,3,2,25,45,2,"BERETA",175,200,2,12,,,1,2,0,1,1,25,1,0,0,0,0,1,,1,,1,1,,2,2,,,12,1,,2,,2,,,,,,,,2,27,2,142,2,,,2,27,2,25,2,142,2,242
"030101088800204","03010100204",3,1,1,8,88,2,4,1,38,1,13,,,,,,,,,,,,13,,,,,,,,,,,,38,1,3,2,80,30,2,"GONDAR",140,65,1,,,,4,0,0,1,2,38,1,0,0,0,0,2,38,1,,1,1,,2,1,2,,38,1,,1,0,2,,,,,,,,2,80,2,38,1,30,800,2,80,1,,2,130,2,130
"030104088800901","03010400901",3,1,4,8,88,9,1,1,30,1,13,,,,,,,,,,,,13,,,,,,,,,,,,30,25,1,2,30,25,2,"GONDER",133,65,2,30,,,4,0,0,1,1,30,1,0,0,0,0,2,30,1,,1,1,,2,2,,,30,1,,1,0,2,,,,,,,,2,30,2,30,2,,,2,30,1,,2,133,2,133
"030108088800701","03010800701",3,1,8,8,88,7,1,4,8,2,0,,,,,,,,,,,,0,,,,,,,,,,,,8,2,2,2,8,0,2,"SEMEN GONDER",33,10,2,8,,,3,0,0,1,2,8,1,0,0,0,0,2,8,1,,2,1,,2,2,,,8,1,,2,,2,,,,,,,,2,8,2,8,2,,,2,8,2,8,2,33,2,33
"030109020100112","03010900112",3,1,9,2,1,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,,,2,"gonder",40,15,1,,,,2,2,0,1,1,0,1,0,0,0,0,1,,2,,,,,,1,1,1,,1,,1,30,1,1,1,1,1,1,2,,1,,1,,1,500,1428,1,,1,,2,40,2,40
"030110088801806","03011001806",3,1,10,8,88,18,6,4,34,2,0,,,,,,,,,,,,5,,,,,,,,,,,,7,2,2,2,34,20,2,"SEMEN GONDER",74,35,2,7,,,6,0,0,2,2,34,1,0,0,0,0,2,34,1,,1,1,,2,2,,,7,1,,2,,2,,,,,,,,2,34,2,7,2,,,2,34,2,34,2,74,2,74
"030111088800102","03011100102",3,1,11,8,88,1,2,1,0,1,13,,,,,,,,,,,,13,,,,,,,,,,,,20,40,2,2,20,20,2,"SEMEN GONDER",21,12,1,,,,9,1,0,2,1,0,1,0,0,0,0,1,,1,,1,1,,1,2,,,21,1,,1,0,2,,,,,,,,2,20,1,,2,,,2,20,1,,2,20,2,20
