"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs2q01","cs2q02","cs2q03","cs2q04","cs2q05_a","cs2q05_b","cs2q05_oth","cs2q06","cs2q07","cs2q07_oth"
"010105088800204","01010500204",1,1,5,8,88,2,4,2,"**CONFIDENTIAL**",1,32,5,,,2,6,
"010105088800204","01010500204",1,1,5,8,88,2,4,3,"**CONFIDENTIAL**",1,32,3,,,30,5,
"010105088800204","01010500204",1,1,5,8,88,2,4,4,"**CONFIDENTIAL**",1,42,1,,,42,3,
"010105088800204","01010500204",1,1,5,8,88,2,4,5,"**CONFIDENTIAL**",1,32,8,,,21,6,
"010105088800204","01010500204",1,1,5,8,88,2,4,6,"**CONFIDENTIAL**",1,30,5,,,9,6,
"010106088800402","01010600402",1,1,6,8,88,4,2,1,"**CONFIDENTIAL**",1,30,6,,,5,6,
"010106088800402","01010600402",1,1,6,8,88,4,2,2,"**CONFIDENTIAL**",1,22,6,,,0,6,
"010106088800402","01010600402",1,1,6,8,88,4,2,3,"**CONFIDENTIAL**",1,34,6,,,0,6,
"010106088800402","01010600402",1,1,6,8,88,4,2,4,"**CONFIDENTIAL**",1,29,1,,,8,6,
"010107010100116","01010700116",1,1,7,1,1,1,16,1,"**CONFIDENTIAL**",1,65,3,,,22,2,
"010107010100116","01010700116",1,1,7,1,1,1,16,2,"**CONFIDENTIAL**",1,26,5,,,2,5,
"010107010100116","01010700116",1,1,7,1,1,1,16,3,"**CONFIDENTIAL**",1,32,11,,,1,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,1,"**CONFIDENTIAL**",1,40,1,,,3,7,
"010201088800207","01020100207",1,2,1,8,88,2,7,2,"**CONFIDENTIAL**",1,22,10,,,1,5,
"010201088800207","01020100207",1,2,1,8,88,2,7,3,"**CONFIDENTIAL**",1,25,7,,,3,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,4,"**CONFIDENTIAL**",1,41,4,,,2,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,5,"**CONFIDENTIAL**",1,36,5,,,6,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,6,"**CONFIDENTIAL**",1,70,3,,,25,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,7,"**CONFIDENTIAL**",1,60,9,,,18,1,
"010201088800207","01020100207",1,2,1,8,88,2,7,8,"**CONFIDENTIAL**",2,20,6,,,2,6,
"010201088800207","01020100207",1,2,1,8,88,2,7,9,"**CONFIDENTIAL**",2,55,2,,,20,2,
"010201088800207","01020100207",1,2,1,8,88,2,7,10,"**CONFIDENTIAL**",1,35,8,,,4,5,
"010202020100107","01020200107",1,2,2,2,1,1,7,1,"**CONFIDENTIAL**",1,30,10,,,4,5,
"010202020100107","01020200107",1,2,2,2,1,1,7,2,"**CONFIDENTIAL**",1,42,2,,,42,3,
"010202020100107","01020200107",1,2,2,2,1,1,7,3,"**CONFIDENTIAL**",2,35,6,,,35,2,
"010202020100107","01020200107",1,2,2,2,1,1,7,4,"**CONFIDENTIAL**",1,58,1,,,35,2,
"010202088800802","01020200802",1,2,2,8,88,8,2,1,"**CONFIDENTIAL**",1,33,1,,,10,6,
"010202088800802","01020200802",1,2,2,8,88,8,2,2,"**CONFIDENTIAL**",1,32,4,,,4,6,
"010202088800802","01020200802",1,2,2,8,88,8,2,3,"**CONFIDENTIAL**",1,30,10,,,7,6,
"010202088800802","01020200802",1,2,2,8,88,8,2,4,"**CONFIDENTIAL**",1,33,6,,,5,6,
"010202088800802","01020200802",1,2,2,8,88,8,2,5,"**CONFIDENTIAL**",2,37,7,,,4,6,
"010203088801001","01020301001",1,2,3,8,88,10,1,1,"**CONFIDENTIAL**",1,28,6,,,2,6,
"010203088801001","01020301001",1,2,3,8,88,10,1,2,"**CONFIDENTIAL**",1,36,1,,,36,2,
"010203088801001","01020301001",1,2,3,8,88,10,1,3,"**CONFIDENTIAL**",1,67,8,,,67,1,
"010203088801001","01020301001",1,2,3,8,88,10,1,4,"**CONFIDENTIAL**",1,32,10,,,1,6,
"010203088801001","01020301001",1,2,3,8,88,10,1,5,"**CONFIDENTIAL**",2,31,2,,,31,5,
"010203088801001","01020301001",1,2,3,8,88,10,1,6,"**CONFIDENTIAL**",1,67,3,,,67,2,
"010204088801702","01020401702",1,2,4,8,88,17,2,1,"**CONFIDENTIAL**",1,30,6,,,2,6,
"010204088801702","01020401702",1,2,4,8,88,17,2,2,"**CONFIDENTIAL**",2,22,7,,,1,5,
"010204088801702","01020401702",1,2,4,8,88,17,2,3,"**CONFIDENTIAL**",1,31,4,,,2,6,
"010204088801702","01020401702",1,2,4,8,88,17,2,4,"**CONFIDENTIAL**",2,20,5,,,1,6,
"010204088801702","01020401702",1,2,4,8,88,17,2,5,"**CONFIDENTIAL**",1,60,8,,,60,1,
"010204088801702","01020401702",1,2,4,8,88,17,2,6,"**CONFIDENTIAL**",1,42,1,,,1,3,
"010206088801301","01020601301",1,2,6,8,88,13,1,1,"**CONFIDENTIAL**",1,47,1,,,13,5,
"010206088801301","01020601301",1,2,6,8,88,13,1,2,"**CONFIDENTIAL**",2,48,2,,,3,1,
"010206088801301","01020601301",1,2,6,8,88,13,1,3,"**CONFIDENTIAL**",1,44,9,,,11,2,
"010206088801301","01020601301",1,2,6,8,88,13,1,4,"**CONFIDENTIAL**",1,54,3,,,13,2,
"010206088801301","01020601301",1,2,6,8,88,13,1,5,"**CONFIDENTIAL**",2,27,7,,,7,5,
"010206088801301","01020601301",1,2,6,8,88,13,1,6,"**CONFIDENTIAL**",1,38,5,,,10,6,
"010206088801301","01020601301",1,2,6,8,88,13,1,7,"**CONFIDENTIAL**",1,35,4,,,3,6,
"010206088801301","01020601301",1,2,6,8,88,13,1,8,"**CONFIDENTIAL**",2,23,6,,,2,6,
"010206088801301","01020601301",1,2,6,8,88,13,1,9,"**CONFIDENTIAL**",1,34,10,,,3,5,
"010206088801301","01020601301",1,2,6,8,88,13,1,10,"**CONFIDENTIAL**",1,48,8,,,1,4,
"010206088801301","01020601301",1,2,6,8,88,13,1,11,"**CONFIDENTIAL**",1,30,11,,,1,6,
"010207010100101","01020700101",1,2,7,1,1,1,1,1,"**CONFIDENTIAL**",1,44,1,,,1,2,
"010207010100101","01020700101",1,2,7,1,1,1,1,2,"**CONFIDENTIAL**",1,29,10,,,3,5,
"010207010100101","01020700101",1,2,7,1,1,1,1,3,"**CONFIDENTIAL**",2,36,2,,,6,6,
"010207010100101","01020700101",1,2,7,1,1,1,1,4,"**CONFIDENTIAL**",1,42,9,,,10,3,
"010207010100101","01020700101",1,2,7,1,1,1,1,5,"**CONFIDENTIAL**",1,40,4,,,6,6,
"010207010100101","01020700101",1,2,7,1,1,1,1,6,"**CONFIDENTIAL**",1,32,5,,,4,6,
"010207010100101","01020700101",1,2,7,1,1,1,1,7,"**CONFIDENTIAL**",2,25,7,,,1,6,
"010207010100101","01020700101",1,2,7,1,1,1,1,8,"**CONFIDENTIAL**",1,35,3,,,10,2,
"010207010100101","01020700101",1,2,7,1,1,1,1,9,"**CONFIDENTIAL**",1,35,8,,,12,2,
"010208088800603","01020800603",1,2,8,8,88,6,3,1,"**CONFIDENTIAL**",1,40,1,,,40,4,
"010208088800603","01020800603",1,2,8,8,88,6,3,2,"**CONFIDENTIAL**",2,60,2,,,60,1,
"010208088800603","01020800603",1,2,8,8,88,6,3,3,"**CONFIDENTIAL**",1,85,3,,,55,1,
"010208088800603","01020800603",1,2,8,8,88,6,3,4,"**CONFIDENTIAL**",1,45,4,,,45,6,
"010208088800603","01020800603",1,2,8,8,88,6,3,5,"**CONFIDENTIAL**",1,28,5,,,3,6,
"010208088800603","01020800603",1,2,8,8,88,6,3,6,"**CONFIDENTIAL**",2,21,6,,,3,6,
"010208088800603","01020800603",1,2,8,8,88,6,3,7,"**CONFIDENTIAL**",2,31,7,,,3,6,
"010208088800603","01020800603",1,2,8,8,88,6,3,8,"**CONFIDENTIAL**",1,46,8,,,46,1,
"010208088800603","01020800603",1,2,8,8,88,6,3,9,"**CONFIDENTIAL**",1,70,9,,,70,1,
"010208088800603","01020800603",1,2,8,8,88,6,3,10,"**CONFIDENTIAL**",1,40,10,,,1,5,
"010209088800602","01020900602",1,2,9,8,88,6,2,1,"**CONFIDENTIAL**",1,65,1,,,65,2,
"010209088800602","01020900602",1,2,9,8,88,6,2,2,"**CONFIDENTIAL**",2,50,2,,,50,2,
"010209088800602","01020900602",1,2,9,8,88,6,2,3,"**CONFIDENTIAL**",1,70,3,,,70,2,
"010209088800602","01020900602",1,2,9,8,88,6,2,4,"**CONFIDENTIAL**",1,50,4,,,5,6,
"010209088800602","01020900602",1,2,9,8,88,6,2,5,"**CONFIDENTIAL**",2,25,5,,,2,6,
"010209088800602","01020900602",1,2,9,8,88,6,2,6,"**CONFIDENTIAL**",1,35,6,,,2,5,
"010209088800602","01020900602",1,2,9,8,88,6,2,7,"**CONFIDENTIAL**",2,30,7,,,5,4,
"010209088800602","01020900602",1,2,9,8,88,6,2,8,"**CONFIDENTIAL**",1,30,8,,,30,4,
"010209088800602","01020900602",1,2,9,8,88,6,2,9,"**CONFIDENTIAL**",1,52,9,,,52,2,
"010209088800602","01020900602",1,2,9,8,88,6,2,10,"**CONFIDENTIAL**",1,35,10,,,5,5,
"010212010100416","01021200416",1,2,12,1,1,4,16,1,"**CONFIDENTIAL**",1,40,1,,,21,3,
"010212010100416","01021200416",1,2,12,1,1,4,16,2,"**CONFIDENTIAL**",2,49,2,,,18,2,
"010212010100416","01021200416",1,2,12,1,1,4,16,3,"**CONFIDENTIAL**",2,52,3,,,18,2,
"010212010100416","01021200416",1,2,12,1,1,4,16,4,"**CONFIDENTIAL**",2,36,2,6,,36,2,
"010301088800204","01030100204",1,3,1,8,88,2,4,1,"**CONFIDENTIAL**",1,57,1,,,37,6,
"010301088800204","01030100204",1,3,1,8,88,2,4,2,"**CONFIDENTIAL**",1,51,11,,,43,6,
"010301088800204","01030100204",1,3,1,8,88,2,4,3,"**CONFIDENTIAL**",2,45,2,,,26,1,
"010301088800204","01030100204",1,3,1,8,88,2,4,4,"**CONFIDENTIAL**",1,39,2,,,30,5,
"010301088800204","01030100204",1,3,1,8,88,2,4,5,"**CONFIDENTIAL**",1,74,3,,,23,1,
"010301088800204","01030100204",1,3,1,8,88,2,4,6,"**CONFIDENTIAL**",1,43,5,,,15,7,
"010301088800204","01030100204",1,3,1,8,88,2,4,7,"**CONFIDENTIAL**",2,37,6,,,20,7,
"010301088800204","01030100204",1,3,1,8,88,2,4,8,"**CONFIDENTIAL**",1,50,7,,,35,7,
"010301088800204","01030100204",1,3,1,8,88,2,4,9,"**CONFIDENTIAL**",1,36,8,,,25,2,
"010301088800204","01030100204",1,3,1,8,88,2,4,10,"**CONFIDENTIAL**",1,50,9,,,40,2,
"010301088800204","01030100204",1,3,1,8,88,2,4,11,"**CONFIDENTIAL**",1,51,10,,,26,2,
"010303010100111","01030300111",1,3,3,1,1,1,11,1,"**CONFIDENTIAL**",1,54,3,,,24,2,
"010303010100111","01030300111",1,3,3,1,1,1,11,2,"**CONFIDENTIAL**",2,37,1,,,16,3,
"010303010100111","01030300111",1,3,3,1,1,1,11,3,"**CONFIDENTIAL**",1,45,6,,,10,5,
"010303088800605","01030300605",1,3,3,8,88,6,5,1,"**CONFIDENTIAL**",1,27,1,,,4,5,
"010303088800605","01030300605",1,3,3,8,88,6,5,2,"**CONFIDENTIAL**",2,48,2,,,5,2,
"010303088800605","01030300605",1,3,3,8,88,6,5,3,"**CONFIDENTIAL**",1,77,3,,,8,1,
"010303088800605","01030300605",1,3,3,8,88,6,5,4,"**CONFIDENTIAL**",1,38,4,,,6,6,
"010303088800605","01030300605",1,3,3,8,88,6,5,5,"**CONFIDENTIAL**",1,37,5,,,5,6,
"010303088800605","01030300605",1,3,3,8,88,6,5,6,"**CONFIDENTIAL**",1,28,6,,,1,6,
"010303088800605","01030300605",1,3,3,8,88,6,5,7,"**CONFIDENTIAL**",2,35,7,,,10,6,
"010303088800605","01030300605",1,3,3,8,88,6,5,8,"**CONFIDENTIAL**",1,35,8,,,15,5,
"010303088800605","01030300605",1,3,3,8,88,6,5,9,"**CONFIDENTIAL**",1,65,9,,,65,7,
"010303088800605","01030300605",1,3,3,8,88,6,5,10,"**CONFIDENTIAL**",1,25,10,,,1,5,
"010303088800605","01030300605",1,3,3,8,88,6,5,11,"**CONFIDENTIAL**",2,24,11,,,3,6,
"010304088800101","01030400101",1,3,4,8,88,1,1,1,"**CONFIDENTIAL**",1,55,1,,,30,3,
"010304088800101","01030400101",1,3,4,8,88,1,1,2,"**CONFIDENTIAL**",1,49,3,,,27,2,
"010304088800101","01030400101",1,3,4,8,88,1,1,3,"**CONFIDENTIAL**",2,55,2,,,20,1,
"010304088800101","01030400101",1,3,4,8,88,1,1,4,"**CONFIDENTIAL**",1,33,6,,,7,6,
"010304088800101","01030400101",1,3,4,8,88,1,1,5,"**CONFIDENTIAL**",1,24,10,,,1,3,
"010304088800101","01030400101",1,3,4,8,88,1,1,6,"**CONFIDENTIAL**",1,28,1,,,1,6,
"010304088800101","01030400101",1,3,4,8,88,1,1,7,"**CONFIDENTIAL**",1,70,2,,,7,2,
"010304088800101","01030400101",1,3,4,8,88,1,1,8,"**CONFIDENTIAL**",1,27,2,,,3,6,
"010304088800101","01030400101",1,3,4,8,88,1,1,9,"**CONFIDENTIAL**",1,42,8,,,28,3,
"010305088801202","01030501202",1,3,5,8,88,12,2,1,"**CONFIDENTIAL**",1,51,1,,,51,2,
"010305088801202","01030501202",1,3,5,8,88,12,2,2,"**CONFIDENTIAL**",1,32,2,,,32,5,
"010305088801202","01030501202",1,3,5,8,88,12,2,3,"**CONFIDENTIAL**",1,75,3,,,75,1,
"010305088801202","01030501202",1,3,5,8,88,12,2,4,"**CONFIDENTIAL**",2,38,7,,,10,5,
"010305088801202","01030501202",1,3,5,8,88,12,2,5,"**CONFIDENTIAL**",1,26,8,,,26,5,
"010305088801202","01030501202",1,3,5,8,88,12,2,6,"**CONFIDENTIAL**",1,63,9,,,63,2,
"010305088801202","01030501202",1,3,5,8,88,12,2,7,"**CONFIDENTIAL**",2,33,10,,,1,5,
"010305088801202","01030501202",1,3,5,8,88,12,2,8,"**CONFIDENTIAL**",1,31,4,,,1,6,
"010305088801202","01030501202",1,3,5,8,88,12,2,9,"**CONFIDENTIAL**",1,30,5,,,2,6,
"010305088801202","01030501202",1,3,5,8,88,12,2,10,"**CONFIDENTIAL**",1,23,6,,,2,5,
"010305088801202","01030501202",1,3,5,8,88,12,2,11,"**CONFIDENTIAL**",1,35,11,,,35,6,
"010306088800608","01030600608",1,3,6,8,88,6,8,1,"**CONFIDENTIAL**",1,56,1,,,56,3,
"010306088800608","01030600608",1,3,6,8,88,6,8,2,"**CONFIDENTIAL**",2,30,2,,,30,5,
"010306088800608","01030600608",1,3,6,8,88,6,8,3,"**CONFIDENTIAL**",1,38,4,,,2,6,
"010306088800608","01030600608",1,3,6,8,88,6,8,4,"**CONFIDENTIAL**",1,33,6,,,2,6,
"010306088800608","01030600608",1,3,6,8,88,6,8,5,"**CONFIDENTIAL**",2,31,7,,,6,6,
"010306088800608","01030600608",1,3,6,8,88,6,8,6,"**CONFIDENTIAL**",1,31,8,,,31,4,
"010306088800608","01030600608",1,3,6,8,88,6,8,7,"**CONFIDENTIAL**",1,67,9,,,67,7,
"010306088800608","01030600608",1,3,6,8,88,6,8,8,"**CONFIDENTIAL**",1,29,10,,,1,6,
"010306088800608","01030600608",1,3,6,8,88,6,8,9,"**CONFIDENTIAL**",1,31,11,,,5,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,1,"**CONFIDENTIAL**",1,45,1,,,20,3,
"010307088800116","01030700116",1,3,7,8,88,1,16,2,"**CONFIDENTIAL**",1,29,2,,,6,3,
"010307088800116","01030700116",1,3,7,8,88,1,16,3,"**CONFIDENTIAL**",1,65,3,,,53,2,
"010307088800116","01030700116",1,3,7,8,88,1,16,4,"**CONFIDENTIAL**",1,43,4,,,11,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,5,"**CONFIDENTIAL**",1,27,5,,,4,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,6,"**CONFIDENTIAL**",2,28,7,,,1,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,7,"**CONFIDENTIAL**",1,33,8,,,10,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,8,"**CONFIDENTIAL**",1,40,9,,,14,4,
"010307088800116","01030700116",1,3,7,8,88,1,16,9,"**CONFIDENTIAL**",1,32,10,,,1,6,
"010307088800116","01030700116",1,3,7,8,88,1,16,10,"**CONFIDENTIAL**",1,32,11,,,8,6,
"010307088800709","01030700709",1,3,7,8,88,7,9,1,"**CONFIDENTIAL**",1,37,1,,,33,4,
"010307088800709","01030700709",1,3,7,8,88,7,9,2,"**CONFIDENTIAL**",2,21,2,,,21,5,
"010307088800709","01030700709",1,3,7,8,88,7,9,3,"**CONFIDENTIAL**",1,61,3,,,56,2,
"010307088800709","01030700709",1,3,7,8,88,7,9,4,"**CONFIDENTIAL**",1,31,4,,,7,6,
"010307088800709","01030700709",1,3,7,8,88,7,9,5,"**CONFIDENTIAL**",1,33,6,,,2,6,
"010307088800709","01030700709",1,3,7,8,88,7,9,6,"**CONFIDENTIAL**",2,33,7,,,10,6,
"010307088800709","01030700709",1,3,7,8,88,7,9,7,"**CONFIDENTIAL**",1,36,8,,,30,4,
"010307088800709","01030700709",1,3,7,8,88,7,9,8,"**CONFIDENTIAL**",1,51,9,,,41,3,
"010307088800709","01030700709",1,3,7,8,88,7,9,9,"**CONFIDENTIAL**",1,35,10,,,2,6,
"010307088800709","01030700709",1,3,7,8,88,7,9,10,"**CONFIDENTIAL**",1,30,11,,,3,6,
"010309010100101","01030900101",1,3,9,1,1,1,1,1,"**CONFIDENTIAL**",1,31,1,,,4,5,
"010309010100101","01030900101",1,3,9,1,1,1,1,2,"**CONFIDENTIAL**",2,41,7,,,41,6,"diplom"
"010309010100101","01030900101",1,3,9,1,1,1,1,3,"**CONFIDENTIAL**",2,54,3,,,2,6,"diplom"
"010401088801204","01040101204",1,4,1,8,88,12,4,1,"**CONFIDENTIAL**",1,26,1,,,23,4,
"010401088801204","01040101204",1,4,1,8,88,12,4,2,"**CONFIDENTIAL**",1,51,9,,,28,7,
"010401088801204","01040101204",1,4,1,8,88,12,4,3,"**CONFIDENTIAL**",2,21,5,,,0,6,
"010401088801204","01040101204",1,4,1,8,88,12,4,4,"**CONFIDENTIAL**",2,27,7,,,0,5,
"010401088801204","01040101204",1,4,1,8,88,12,4,5,"**CONFIDENTIAL**",1,70,2,,,70,1,
"010403020100109","01040300109",1,4,3,2,1,1,9,1,"**CONFIDENTIAL**",1,46,1,,,8,5,
"010403020100109","01040300109",1,4,3,2,1,1,9,2,"**CONFIDENTIAL**",2,34,2,,,10,2,
"010403020100109","01040300109",1,4,3,2,1,1,9,3,"**CONFIDENTIAL**",1,42,4,,,7,6,
"010403020100109","01040300109",1,4,3,2,1,1,9,4,"**CONFIDENTIAL**",1,38,5,,,6,6,
"010403020100109","01040300109",1,4,3,2,1,1,9,5,"**CONFIDENTIAL**",1,28,6,,,5,6,
"010403020100109","01040300109",1,4,3,2,1,1,9,6,"**CONFIDENTIAL**",2,27,7,,,5,6,
"010403088800404","01040300404",1,4,3,8,88,4,4,1,"**CONFIDENTIAL**",1,27,1,,,8,5,
"010403088800404","01040300404",1,4,3,8,88,4,4,2,"**CONFIDENTIAL**",1,58,3,,,58,1,
"010403088800404","01040300404",1,4,3,8,88,4,4,3,"**CONFIDENTIAL**",1,27,2,,,27,1,
"010403088800404","01040300404",1,4,3,8,88,4,4,4,"**CONFIDENTIAL**",1,33,6,,,1,5,
"010403088800404","01040300404",1,4,3,8,88,4,4,5,"**CONFIDENTIAL**",1,35,5,,,2,5,
"010403088800404","01040300404",1,4,3,8,88,4,4,6,"**CONFIDENTIAL**",2,25,7,,,2,5,
"010403088800404","01040300404",1,4,3,8,88,4,4,7,"**CONFIDENTIAL**",1,36,8,,,36,3,
"010404088800103","01040400103",1,4,4,8,88,1,3,1,"**CONFIDENTIAL**",1,31,2,,,31,2,
"010404088800103","01040400103",1,4,4,8,88,1,3,2,"**CONFIDENTIAL**",1,51,7,,,18,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,3,"**CONFIDENTIAL**",2,22,6,,,1,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,4,"**CONFIDENTIAL**",2,23,6,,,2,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,5,"**CONFIDENTIAL**",1,31,6,,,1,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,6,"**CONFIDENTIAL**",1,34,4,,,2,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,7,"**CONFIDENTIAL**",2,28,7,,,3,6,
"010404088800103","01040400103",1,4,4,8,88,1,3,8,"**CONFIDENTIAL**",2,28,7,,,4,6,
"010405088800701","01040500701",1,4,5,8,88,7,1,1,"**CONFIDENTIAL**",1,35,1,,,35,3,
"010405088800701","01040500701",1,4,5,8,88,7,1,2,"**CONFIDENTIAL**",1,43,2,,,43,2,
"010405088800701","01040500701",1,4,5,8,88,7,1,3,"**CONFIDENTIAL**",1,29,2,,,29,4,
"010405088800701","01040500701",1,4,5,8,88,7,1,4,"**CONFIDENTIAL**",1,42,11,,,42,2,
"010405088800701","01040500701",1,4,5,8,88,7,1,5,"**CONFIDENTIAL**",1,27,6,,,2,6,
"010405088800701","01040500701",1,4,5,8,88,7,1,6,"**CONFIDENTIAL**",1,37,3,,,37,2,
"010405088800701","01040500701",1,4,5,8,88,7,1,7,"**CONFIDENTIAL**",2,31,4,,,4,6,
"010405088800701","01040500701",1,4,5,8,88,7,1,8,"**CONFIDENTIAL**",2,21,7,,,2,6,
"010405088800701","01040500701",1,4,5,8,88,7,1,9,"**CONFIDENTIAL**",1,28,10,,,1,6,
"010405088800701","01040500701",1,4,5,8,88,7,1,10,"**CONFIDENTIAL**",1,26,5,,,2,6,
"010406088800803","01040600803",1,4,6,8,88,8,3,1,"**CONFIDENTIAL**",1,47,1,,,47,2,
"010406088800803","01040600803",1,4,6,8,88,8,3,2,"**CONFIDENTIAL**",1,21,6,,,0,4,
"010406088800803","01040600803",1,4,6,8,88,8,3,3,"**CONFIDENTIAL**",2,30,2,,,30,1,
"010406088800803","01040600803",1,4,6,8,88,8,3,4,"**CONFIDENTIAL**",2,20,7,,,2,5,
"010406088800803","01040600803",1,4,6,8,88,8,3,5,"**CONFIDENTIAL**",1,26,5,,,2,5,
"010406088800803","01040600803",1,4,6,8,88,8,3,6,"**CONFIDENTIAL**",1,32,4,,,0,5,
"010408088800402","01040800402",1,4,8,8,88,4,2,1,"**CONFIDENTIAL**",1,35,1,,,35,4,
"010408088800402","01040800402",1,4,8,8,88,4,2,2,"**CONFIDENTIAL**",1,43,3,,,43,1,
"010408088800402","01040800402",1,4,8,8,88,4,2,3,"**CONFIDENTIAL**",1,50,9,,,50,1,
"010408088800402","01040800402",1,4,8,8,88,4,2,4,"**CONFIDENTIAL**",1,33,6,,,2,6,
"010408088800402","01040800402",1,4,8,8,88,4,2,5,"**CONFIDENTIAL**",1,56,2,,,56,1,
"010408088800402","01040800402",1,4,8,8,88,4,2,6,"**CONFIDENTIAL**",1,38,2,,,38,3,
"010408088800402","01040800402",1,4,8,8,88,4,2,7,"**CONFIDENTIAL**",2,36,5,,,20,6,
"010408088800402","01040800402",1,4,8,8,88,4,2,8,"**CONFIDENTIAL**",2,36,7,,,22,5,
"010409010100306","01040900306",1,4,9,1,1,3,6,1,"**CONFIDENTIAL**",1,40,1,,,22,5,
"010409010100306","01040900306",1,4,9,1,1,3,6,2,"**CONFIDENTIAL**",1,27,6,,,6,5,
"010409010100306","01040900306",1,4,9,1,1,3,6,3,"**CONFIDENTIAL**",2,35,2,,,10,4,
"010501088800105","01050100105",1,5,1,8,88,1,5,1,"**CONFIDENTIAL**",1,35,1,,,13,5,
"010501020100105","01050100105",1,5,1,2,1,1,5,1,"**CONFIDENTIAL**",1,30,4,,,8,6,
"010501088800105","01050100105",1,5,1,8,88,1,5,2,"**CONFIDENTIAL**",1,55,2,,,20,5,
"010501020100105","01050100105",1,5,1,2,1,1,5,2,"**CONFIDENTIAL**",1,28,7,,,4,6,
