"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs1aq8_1","cs1aq8_3a","cs1aq8_3b","cs1aq8_3c","cs1aq9_1","cs1aq9_3a","cs1aq9_3b","cs1aq9_3c","cs1aq12_1","cs1aq12_3a","cs1aq12_3b","cs1aq12_3c","cs1aq14_a","cs1aq14_b","cs1aq14_c","cs1aq15_a","cs1aq15_b","cs1aq16_a","cs1aq16_b","cs1aq17_a","cs1aq17_b"
"010206088801301","01020601301",1,2,6,8,88,13,1,"**CONFIDENTIAL**",6,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",7,11,2008,6,6,2008,5,30,8,0,"**CONFIDENTIAL**",20
"010207010100101","01020700101",1,2,7,1,1,1,1,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",7,11,2008,8,6,2008,7,30,9,20,"**CONFIDENTIAL**",20
"010208088800603","01020800603",1,2,8,8,88,6,3,"**CONFIDENTIAL**",10,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",7,11,2008,10,6,2008,3,0,7,0,"**CONFIDENTIAL**",20
"010209088800602","01020900602",1,2,9,8,88,6,2,"**CONFIDENTIAL**",11,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,11,7,2008,3,0,6,30,"**CONFIDENTIAL**",20
"010212010100416","01021200416",1,2,12,1,1,4,16,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010301088800204","01030100204",1,3,1,8,88,2,4,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,13,6,2008,9,0,11,30,"**CONFIDENTIAL**",20
"010303010100111","01030300111",1,3,3,1,1,1,11,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010303088800605","01030300605",1,3,3,8,88,6,5,"**CONFIDENTIAL**",7,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,13,6,2008,3,10,5,40,"**CONFIDENTIAL**",20
"010304088800101","01030400101",1,3,4,8,88,1,1,"**CONFIDENTIAL**",9,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",6,11,2008,9,7,2008,4,30,6,10,"**CONFIDENTIAL**",
"010305088801202","01030501202",1,3,5,8,88,12,2,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",7,11,2008,11,6,2008,4,15,6,45,"**CONFIDENTIAL**",20
"010306088800608","01030600608",1,3,6,8,88,6,8,"**CONFIDENTIAL**",9,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,9,6,2008,3,10,5,30,"**CONFIDENTIAL**",20
"010307088800116","01030700116",1,3,7,8,88,1,16,"**CONFIDENTIAL**",14,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",8,11,2008,14,6,2008,3,15,5,15,"**CONFIDENTIAL**",20
"010307088800709","01030700709",1,3,7,8,88,7,9,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",8,11,2008,13,6,2008,4,45,6,15,"**CONFIDENTIAL**",20
"010309010100101","01030900101",1,3,9,1,1,1,1,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010401088801204","01040101204",1,4,1,8,88,12,4,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,8,6,2008,7,30,9,0,"**CONFIDENTIAL**",20
"010403020100109","01040300109",1,4,3,2,1,1,9,"**CONFIDENTIAL**",16,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",8,11,2008,16,7,2008,3,30,5,15,"**CONFIDENTIAL**",20
"010403088800404","01040300404",1,4,3,8,88,4,4,"**CONFIDENTIAL**",13,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",8,11,2008,13,7,2008,5,30,7,30,"**CONFIDENTIAL**",20
"010404088800103","01040400103",1,4,4,8,88,1,3,"**CONFIDENTIAL**",28,6,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,26,6,2008,6,0,8,10,"**CONFIDENTIAL**",20
"010405088800701","01040500701",1,4,5,8,88,7,1,"**CONFIDENTIAL**",12,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,6,6,2008,9,42,11,3,"**CONFIDENTIAL**",20
"010406088800803","01040600803",1,4,6,8,88,8,3,"**CONFIDENTIAL**",10,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,8,6,2008,3,45,5,8,"**CONFIDENTIAL**",20
"010408088800402","01040800402",1,4,8,8,88,4,2,"**CONFIDENTIAL**",15,7,2008,"**CONFIDENTIAL**",25,7,2008,"**CONFIDENTIAL**",7,11,2008,11,6,2008,5,34,6,52,"**CONFIDENTIAL**",20
"010409010100306","01040900306",1,4,9,1,1,3,6,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010501020100105","01050100105",1,5,1,2,1,1,5,"**CONFIDENTIAL**",14,6,2008,"**CONFIDENTIAL**",11,7,2008,"**CONFIDENTIAL**",7,11,2008,16,6,2008,11,0,12,5,"**CONFIDENTIAL**",24
"010501088800105","01050100105",1,5,1,8,88,1,5,"**CONFIDENTIAL**",3,7,2008,"**CONFIDENTIAL**",8,7,2008,"**CONFIDENTIAL**",7,11,2008,3,7,2008,8,0,10,0,"**CONFIDENTIAL**",24
"010502088800201","01050200201",1,5,2,8,88,2,1,"**CONFIDENTIAL**",3,7,2008,"**CONFIDENTIAL**",19,7,2008,"**CONFIDENTIAL**",7,11,2008,3,7,2008,7,30,8,44,"**CONFIDENTIAL**",24
"010502088800712","01050200712",1,5,2,8,88,7,12,"**CONFIDENTIAL**",6,6,2008,"**CONFIDENTIAL**",9,7,2008,"**CONFIDENTIAL**",7,11,2008,6,6,2008,9,5,11,10,"**CONFIDENTIAL**",24
"010502088801503","01050201503",1,5,2,8,88,15,3,"**CONFIDENTIAL**",23,6,2008,"**CONFIDENTIAL**",30,6,2008,"**CONFIDENTIAL**",7,11,2008,23,6,2008,10,0,12,15,"**CONFIDENTIAL**",24
"010503088801501","01050301501",1,5,3,8,88,15,1,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",15,7,2008,"**CONFIDENTIAL**",7,11,2008,12,6,2008,3,0,5,0,"**CONFIDENTIAL**",24
"010503088802304","01050302304",1,5,3,8,88,23,4,"**CONFIDENTIAL**",17,6,2008,"**CONFIDENTIAL**",18,7,2008,"**CONFIDENTIAL**",7,11,2008,13,6,2008,3,25,5,15,"**CONFIDENTIAL**",24
"010601010100224","01060100224",1,6,1,1,1,2,24,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010601010100303","01060100303",1,6,1,1,1,3,3,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010601010100315","01060100315",1,6,1,1,1,3,15,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010601010100423","01060100423",1,6,1,1,1,4,23,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010601010100532","01060100532",1,6,1,1,1,5,32,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010601010103701","01060103701",1,6,1,1,1,37,1,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010602010100113","01060200113",1,6,2,1,1,1,13,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"010602010100519","01060200519",1,6,2,1,1,5,19,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"020102010100102","02010200102",2,1,2,1,1,1,2,"**CONFIDENTIAL**",28,6,2008,"**CONFIDENTIAL**",30,6,2008,"**CONFIDENTIAL**",6,11,2008,28,6,2008,4,45,6,15,"**CONFIDENTIAL**",5
"020103010100204","02010300204",2,1,3,1,1,2,4,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"020103088800102","02010300102",2,1,3,8,88,1,2,"**CONFIDENTIAL**",18,6,2008,"**CONFIDENTIAL**",20,6,2008,"**CONFIDENTIAL**",6,11,2008,18,6,2008,1,45,3,45,"**CONFIDENTIAL**",5
"020103088800601","02010300601",2,1,3,8,88,6,1,"**CONFIDENTIAL**",2,7,2008,"**CONFIDENTIAL**",3,7,2008,"**CONFIDENTIAL**",6,11,2008,2,7,2008,3,20,6,10,"**CONFIDENTIAL**",5
"020103088800802","02010300802",2,1,3,8,88,8,2,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",20,6,2008,"**CONFIDENTIAL**",6,11,2008,15,6,2008,3,40,5,15,"**CONFIDENTIAL**",5
"020104088800201","02010400201",2,1,4,8,88,2,1,"**CONFIDENTIAL**",29,6,2008,"**CONFIDENTIAL**",30,6,2008,"**CONFIDENTIAL**",6,11,2008,29,6,2008,2,0,4,10,"**CONFIDENTIAL**",5
"020105088800404","02010500404",2,1,5,8,88,4,4,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",6,11,2008,8,6,2008,8,30,10,20,"**CONFIDENTIAL**",5
"020105088801103","02010501103",2,1,5,8,88,11,3,"**CONFIDENTIAL**",30,6,2008,"**CONFIDENTIAL**",2,7,2008,"**CONFIDENTIAL**",6,11,2008,30,6,2008,8,0,9,30,"**CONFIDENTIAL**",5
"020106088800402","02010600402",2,1,6,8,88,4,2,"**CONFIDENTIAL**",4,7,2008,"**CONFIDENTIAL**",10,7,2008,"**CONFIDENTIAL**",6,11,2008,4,7,2008,4,30,6,30,"**CONFIDENTIAL**",5
"020301030100101","02030100101",2,3,1,3,1,1,1,"**CONFIDENTIAL**",14,6,2008,"**CONFIDENTIAL**",20,6,2008,"**CONFIDENTIAL**",6,11,2008,14,6,2008,6,0,8,45,"**CONFIDENTIAL**",5
"020302088800102","02030200102",2,3,2,8,88,1,2,"**CONFIDENTIAL**",17,6,2008,"**CONFIDENTIAL**",25,6,2008,"**CONFIDENTIAL**",6,11,2008,17,6,2008,2,40,4,48,"**CONFIDENTIAL**",5
"020304088800601","02030400601",2,3,4,8,88,6,1,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",20,6,2008,"**CONFIDENTIAL**",7,11,2008,8,6,2008,4,15,9,0,"**CONFIDENTIAL**",5
"020306088800601","02030600601",2,3,6,8,88,6,1,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",16,7,2008,"**CONFIDENTIAL**",6,11,2008,13,6,2008,2,45,4,55,"**CONFIDENTIAL**",5
"030101088800204","03010100204",3,1,1,8,88,2,4,"**CONFIDENTIAL**",8,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,8,7,2008,5,10,6,25,"**CONFIDENTIAL**",14
"030104088800901","03010400901",3,1,4,8,88,9,1,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,8,6,2008,3,15,4,27,"**CONFIDENTIAL**",14
"030108088800701","03010800701",3,1,8,8,88,7,1,"**CONFIDENTIAL**",4,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,4,7,2008,3,0,4,50,"**CONFIDENTIAL**",14
"030109020100112","03010900112",3,1,9,2,1,1,12,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030110088801806","03011001806",3,1,10,8,88,18,6,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,13,6,2008,3,10,6,20,"**CONFIDENTIAL**",14
"030111088800102","03011100102",3,1,11,8,88,1,2,"**CONFIDENTIAL**",10,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,10,7,2008,5,0,6,30,"**CONFIDENTIAL**",14
"030112088800203","03011200203",3,1,12,8,88,2,3,"**CONFIDENTIAL**",10,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,7,6,2008,2,45,4,13,"**CONFIDENTIAL**",14
"030114088800816","03011400816",3,1,14,8,88,8,16,"**CONFIDENTIAL**",12,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,12,6,2008,3,30,6,30,"**CONFIDENTIAL**",14
"030116088802804","03011602804",3,1,16,8,88,28,4,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",7,11,2008,11,6,2008,8,10,10,20,"**CONFIDENTIAL**",14
"030118010100610","03011800610",3,1,18,1,1,6,10,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030118010101204","03011801204",3,1,18,1,1,12,4,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030118010102006","03011802006",3,1,18,1,1,20,6,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030120020100105","03012000105",3,1,20,2,1,1,5,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,15,6,2008,3,22,4,45,"**CONFIDENTIAL**",14
"030201088800703","03020100703",3,2,1,8,88,7,3,"**CONFIDENTIAL**",11,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,10,7,2008,4,55,6,2,"**CONFIDENTIAL**",14
"030202088802508","03020202508",3,2,2,8,88,25,8,"**CONFIDENTIAL**",12,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,11,6,2008,9,30,10,15,"**CONFIDENTIAL**",14
"030204088800906","03020400906",3,2,4,8,88,9,6,"**CONFIDENTIAL**",12,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,12,7,2008,4,35,5,45,"**CONFIDENTIAL**",14
"030205088801907","03020501907",3,2,5,8,88,19,7,"**CONFIDENTIAL**",,,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,10,6,2008,3,45,5,30,"**CONFIDENTIAL**",14
"030207010100110","03020700110",3,2,7,1,1,1,10,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030207088803703","03020703703",3,2,7,8,88,37,3,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,13,6,2008,3,40,5,20,"**CONFIDENTIAL**",14
"030209010100104","03020900104",3,2,9,1,1,1,4,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,11,6,2008,10,31,11,56,"**CONFIDENTIAL**",14
"030209088800708","03020900708",3,2,9,8,88,7,8,"**CONFIDENTIAL**",10,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,10,6,2008,9,26,10,42,"**CONFIDENTIAL**",14
"030301088800204","03030100204",3,3,1,8,88,2,4,"**CONFIDENTIAL**",7,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,6,6,2008,2,30,6,20,"**CONFIDENTIAL**",10
"030302010100108","03030200108",3,3,2,1,1,1,8,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,8,6,2008,5,0,7,10,"**CONFIDENTIAL**",10
"030302088802104","03030202104",3,3,2,8,88,21,4,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,13,6,2008,9,30,12,10,"**CONFIDENTIAL**",10
"030303088802404","03030302404",3,3,3,8,88,24,4,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,12,6,2008,2,30,6,40,"**CONFIDENTIAL**",10
"030304088800906","03030400906",3,3,4,8,88,9,6,"**CONFIDENTIAL**",15,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,,,,,,,,"**CONFIDENTIAL**",
"030305088801101","03030501101",3,3,5,8,88,11,1,"**CONFIDENTIAL**",17,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030307088801002","03030701002",3,3,7,8,88,10,2,"**CONFIDENTIAL**",18,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,,,,,,,,"**CONFIDENTIAL**",
"030308088801617","03030801617",3,3,8,8,88,16,17,"**CONFIDENTIAL**",17,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,7,6,2008,3,43,6,58,"**CONFIDENTIAL**",10
"030309010100308","03030900308",3,3,9,1,1,3,8,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030310088801701","03031001701",3,3,10,8,88,17,1,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,10,6,2008,2,30,6,30,"**CONFIDENTIAL**",10
"030403088801401","03040301401",3,4,3,8,88,14,1,"**CONFIDENTIAL**",8,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,8,6,2008,2,30,6,0,"**CONFIDENTIAL**",10
"030406088800801","03040600801",3,4,6,8,88,8,1,"**CONFIDENTIAL**",10,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,10,6,2008,2,50,5,0,"**CONFIDENTIAL**",10
"030409088801203","03040901203",3,4,9,8,88,12,3,"**CONFIDENTIAL**",16,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,,,,,,,,"**CONFIDENTIAL**",10
"030411088800903","03041100903",3,4,11,8,88,9,3,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,15,6,2008,3,40,5,10,"**CONFIDENTIAL**",
"030412010100105","03041200105",3,4,12,1,1,1,5,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,10,6,2008,9,11,11,15,"**CONFIDENTIAL**",
"030414088802101","03041402101",3,4,14,8,88,21,1,"**CONFIDENTIAL**",13,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,13,6,2008,3,0,5,20,"**CONFIDENTIAL**",10
"030416088800204","03041600204",3,4,16,8,88,2,4,"**CONFIDENTIAL**",16,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",13,11,2008,8,6,2008,11,0,12,50,"**CONFIDENTIAL**",10
"030418010100309","03041800309",3,4,18,1,1,3,9,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030418010100807","03041800807",3,4,18,1,1,8,7,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030501088801504","03050101504",3,5,1,8,88,15,4,"**CONFIDENTIAL**",16,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,16,6,2008,3,40,4,45,"**CONFIDENTIAL**",9
"030504088800305","03050400305",3,5,4,8,88,3,5,"**CONFIDENTIAL**",14,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",5,12,2008,,,,3,15,4,0,"**CONFIDENTIAL**",9
"030507088801204","03050701204",3,5,7,8,88,12,4,"**CONFIDENTIAL**",17,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,17,6,2008,3,0,4,5,"**CONFIDENTIAL**",9
"030508010100106","03050800106",3,5,8,1,1,1,6,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030509020100104","03050900104",3,5,9,2,1,1,4,"**CONFIDENTIAL**",11,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,11,6,2008,2,35,6,30,"**CONFIDENTIAL**",9
"030511088800307","03051100307",3,5,11,8,88,3,7,"**CONFIDENTIAL**",9,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,9,6,2008,2,30,6,15,"**CONFIDENTIAL**",9
"030513088800702","03051300702",3,5,13,8,88,7,2,"**CONFIDENTIAL**",9,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,9,6,2008,8,30,10,50,"**CONFIDENTIAL**",9
"030515088800703","03051500703",3,5,15,8,88,7,3,"**CONFIDENTIAL**",22,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",6,12,2008,22,6,2008,9,0,10,30,"**CONFIDENTIAL**",9
"030521088800808","03052100808",3,5,21,8,88,8,8,"**CONFIDENTIAL**",14,6,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",5,12,2008,14,6,2008,1,45,4,55,"**CONFIDENTIAL**",9
"030602088802603","03060202603",3,6,2,8,88,26,3,"**CONFIDENTIAL**",6,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,6,7,2008,8,0,10,0,"**CONFIDENTIAL**",7
"030604010100202","03060400202",3,6,4,1,1,2,2,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",,,,,,,,,,,"**CONFIDENTIAL**",
"030604088802001","03060402001",3,6,4,8,88,20,1,"**CONFIDENTIAL**",2,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,2,7,2008,5,45,7,0,"**CONFIDENTIAL**",7
"030606088802103","03060602103",3,6,6,8,88,21,3,"**CONFIDENTIAL**",3,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,8,7,2008,3,30,5,0,"**CONFIDENTIAL**",3
"030609088801807","03060901807",3,6,9,8,88,18,7,"**CONFIDENTIAL**",6,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,6,7,2008,4,20,7,10,"**CONFIDENTIAL**",7
"030611088802207","03061102207",3,6,11,8,88,22,7,"**CONFIDENTIAL**",6,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,6,7,2008,8,0,9,30,"**CONFIDENTIAL**",7
"030614010100105","03061400105",3,6,14,1,1,1,5,"**CONFIDENTIAL**",10,7,2008,"**CONFIDENTIAL**",,,,"**CONFIDENTIAL**",8,11,2008,10,7,2008,3,30,4,50,"**CONFIDENTIAL**",7
