,household_id2_int64,random_data_split_group,poor_npl1
82,10107010100116334,train,0.0
83,10201088800207002,train,1.0
84,10201088800207012,train,0.0
85,10201088800207017,train,1.0
86,10201088800207027,train,1.0
87,10201088800207047,test,1.0
88,10201088800207062,train,1.0
89,10201088800207077,train,0.0
90,10201088800207092,test,0.0
91,10201088800207107,train,1.0
92,10201088800207122,train,1.0
93,10201088800207137,test,1.0
94,10202020100107008,test,0.0
95,10202020100107034,test,0.0
96,10202020100107047,train,0.0
97,10202020100107073,test,0.0
98,10202020100107086,train,0.0
99,10202020100107099,train,0.0
100,10202020100107112,train,0.0
101,10202020100107125,test,0.0
102,10202020100107151,train,0.0
103,10202020100107164,train,0.0
104,10202020100107177,train,0.0
105,10202020100107190,train,0.0
106,10202088800802002,train,1.0
107,10202088800802017,train,1.0
108,10202088800802028,train,0.0
109,10202088800802033,train,0.0
110,10202088800802048,test,1.0
111,10202088800802063,train,0.0
112,10202088800802078,train,0.0
113,10202088800802108,test,0.0
114,10202088800802120,train,0.0
115,10202088800802124,test,0.0
116,10202088800802139,train,0.0
117,10203088801001002,train,0.0
118,10203088801001017,train,0.0
119,10203088801001032,test,0.0
120,10203088801001047,test,0.0
121,10203088801001062,train,0.0
122,10203088801001080,test,1.0
123,10203088801001095,train,0.0
124,10203088801001097,test,0.0
125,10203088801001111,train,0.0
126,10203088801001128,train,0.0
127,10203088801001145,train,0.0
128,10203088801001152,train,0.0
129,10204088801702002,train,0.0
130,10204088801702005,train,0.0
131,10204088801702018,test,1.0
132,10204088801702033,train,1.0
133,10204088801702048,train,0.0
134,10204088801702078,test,0.0
135,10204088801702093,train,0.0
136,10204088801702108,train,0.0
137,10204088801702123,train,0.0
138,10204088801702138,test,0.0
139,10206088801301002,train,0.0
140,10206088801301018,train,0.0
141,10206088801301033,train,0.0
142,10206088801301050,test,0.0
143,10206088801301066,train,0.0
144,10206088801301081,train,0.0
145,10206088801301097,train,1.0
146,10206088801301134,train,0.0
147,10206088801301136,test,0.0
148,10206088801301162,train,1.0
149,10206088801301180,test,1.0
150,10207010100101027,train,0.0
151,10207010100101057,test,0.0
152,10207010100101087,train,0.0
153,10207010100101117,test,0.0
154,10207010100101177,train,0.0
155,10207010100101237,train,0.0
156,10207010100101267,test,0.0
157,10207010100101297,train,0.0
158,10207010100101327,test,0.0
159,10207010100101357,test,0.0
160,10208088800603004,train,1.0
161,10208088800603019,test,0.0
162,10208088800603034,test,1.0
163,10208088800603049,train,0.0
164,10208088800603064,train,1.0
165,10208088800603079,train,0.0
166,10208088800603094,train,0.0
167,10208088800603109,test,0.0
168,10208088800603124,train,1.0
169,10208088800603140,train,1.0
170,10208088800603180,test,0.0
171,10209088800602006,train,0.0
172,10209088800602024,train,0.0
173,10209088800602043,train,0.0
174,10209088800602063,test,0.0
175,10209088800602083,train,0.0
176,10209088800602091,test,0.0
177,10209088800602104,train,0.0
178,10209088800602123,train,0.0
179,10209088800602142,test,1.0
180,10209088800602162,train,1.0
181,10209088800602172,test,0.0
182,10209088800602182,test,0.0
183,10212010100416004,test,0.0
184,10212010100416016,test,0.0
185,10212010100416028,train,0.0
186,10212010100416052,train,0.0
187,10212010100416064,train,0.0
188,10212010100416076,train,0.0
189,10212010100416088,train,0.0
190,10212010100416100,test,0.0
191,10212010100416124,train,0.0
192,10212010100416136,train,0.0
193,10212010100416148,test,0.0
194,10212010100416160,train,0.0
195,10212010100416172,train,0.0
196,10301088800204003,train,0.0
197,10301088800204012,train,0.0
198,10301088800204013,train,0.0
199,10301088800204023,test,0.0
200,10301088800204032,train,1.0
201,10301088800204047,train,1.0
202,10301088800204091,train,0.0
203,10301088800204129,train,0.0
204,10301088800204139,train,0.0
205,10301088800204148,test,1.0
206,10301088800204157,test,0.0
207,10303010100111002,test,0.0
208,10303010100111009,test,0.0
209,10303010100111016,train,0.0
210,10303010100111023,train,0.0
211,10303010100111030,train,0.0
212,10303010100111037,train,0.0
213,10303010100111044,train,0.0
214,10303010100111065,test,0.0
215,10303010100111072,train,0.0
216,10303010100111079,train,0.0
217,10303010100111086,test,0.0
218,10303010100111093,train,0.0
219,10303010100111100,train,0.0
220,10303088800605002,train,0.0
221,10303088800605014,train,0.0
222,10303088800605027,test,0.0
223,10303088800605036,test,0.0
224,10303088800605040,train,0.0
225,10303088800605052,test,1.0
226,10303088800605066,train,0.0
227,10303088800605078,test,0.0
228,10303088800605100,train,0.0
229,10303088800605107,train,0.0
230,10303088800605119,train,0.0
231,10303088800605131,train,0.0
232,10304088800101001,train,0.0
233,10304088800101014,train,1.0
234,10304088800101027,train,0.0
235,10304088800101040,test,0.0
236,10304088800101054,train,0.0
237,10304088800101067,test,0.0
238,10304088800101077,train,0.0
239,10304088800101085,train,1.0
240,10304088800101104,train,0.0
241,10304088800101115,train,0.0
242,10304088800101120,test,0.0
243,10304088800101135,test,1.0
244,10305088801202001,train,1.0
245,10305088801202022,train,0.0
246,10305088801202036,train,0.0
247,10305088801202043,train,0.0
248,10305088801202059,test,0.0
249,10305088801202065,train,0.0
250,10305088801202086,train,1.0
251,10305088801202107,train,0.0
252,10305088801202130,test,0.0
253,10305088801202137,train,0.0
254,10305088801202152,test,1.0
255,10305088801202174,test,0.0
256,10306088800608021,test,0.0
257,10306088800608036,train,0.0
258,10306088800608043,train,1.0
259,10306088800608062,train,0.0
260,10306088800608088,train,0.0
261,10306088800608112,test,0.0
262,10306088800608122,train,0.0
263,10306088800608133,test,0.0
264,10306088800608152,train,0.0
265,10306088800608174,train,0.0
266,10306088800608196,train,0.0
267,10307088800116004,test,0.0
268,10307088800116016,train,0.0
269,10307088800116028,train,0.0
270,10307088800116040,train,0.0
271,10307088800116064,test,0.0
272,10307088800116076,train,0.0
273,10307088800116088,test,0.0
274,10307088800116100,test,0.0
275,10307088800116112,train,0.0
276,10307088800116124,train,0.0
277,10307088800116136,train,0.0
278,10307088800709006,train,0.0
279,10307088800709025,train,0.0
280,10307088800709043,test,0.0
281,10307088800709061,test,0.0
282,10307088800709079,train,0.0
283,10307088800709097,train,0.0
284,10307088800709115,test,0.0
285,10307088800709133,train,0.0
286,10307088800709151,test,0.0
287,10307088800709166,train,0.0
288,10307088800709167,train,0.0
289,10307088800709171,train,0.0
290,10309010100101001,test,0.0
291,10309010100101011,test,0.0
292,10309010100101021,train,0.0
293,10309010100101031,train,0.0
294,10309010100101041,train,0.0
295,10309010100101051,train,0.0
296,10309010100101061,train,0.0
297,10309010100101071,test,0.0
298,10309010100101081,train,0.0
299,10309010100101091,train,0.0
300,10309010100101101,test,0.0
301,10309010100101121,train,0.0
302,10309010100101141,train,0.0
303,10401088801204003,train,1.0
304,10401088801204009,train,0.0
305,10401088801204022,train,0.0
306,10401088801204045,train,0.0
307,10401088801204063,train,0.0
308,10401088801204081,train,1.0
309,10401088801204099,test,0.0
310,10401088801204118,train,0.0
311,10401088801204136,test,0.0
312,10401088801204154,train,0.0
313,10401088801204172,test,1.0
314,10403020100109011,test,0.0
315,10403020100109023,train,0.0
316,10403020100109035,train,0.0
317,10403020100109047,train,0.0
318,10403020100109059,train,1.0
319,10403020100109071,test,0.0
320,10403020100109083,test,1.0
321,10403020100109095,train,0.0
322,10403020100109107,train,0.0
323,10403020100109119,train,0.0
324,10403020100109131,test,0.0
325,10403088800404002,train,1.0
326,10403088800404014,test,1.0
327,10403088800404027,test,0.0
328,10403088800404040,train,0.0
329,10403088800404053,train,1.0
330,10403088800404065,train,0.0
331,10403088800404074,train,1.0
332,10403088800404079,test,0.0
333,10403088800404093,train,0.0
334,10403088800404106,test,0.0
335,10403088800404118,train,0.0
336,10403088800404143,train,0.0
337,10404088800103001,test,0.0
338,10404088800103011,test,0.0
339,10404088800103016,train,0.0
340,10404088800103031,test,0.0
341,10404088800103046,train,0.0
342,10404088800103047,train,0.0
343,10404088800103062,train,0.0
344,10404088800103077,test,0.0
345,10404088800103092,train,0.0
346,10404088800103107,train,0.0
347,10404088800103122,train,0.0
348,10404088800103137,train,0.0
349,10405088800701004,train,0.0
350,10405088800701025,test,0.0
351,10405088800701046,train,1.0
352,10405088800701062,train,1.0
353,10405088800701070,train,1.0
354,10405088800701114,train,0.0
355,10405088800701135,train,0.0
356,10405088800701141,train,1.0
357,10405088800701158,test,1.0
358,10405088800701179,train,0.0
359,10405088800701200,test,1.0
360,10406088800803003,train,0.0
361,10406088800803020,train,0.0
362,10406088800803033,test,0.0
363,10406088800803055,test,0.0
364,10406088800803060,train,0.0
365,10406088800803074,train,0.0
366,10406088800803117,test,0.0
367,10406088800803137,train,0.0
368,10406088800803155,train,0.0
369,10406088800803183,train,0.0
370,10406088800803207,train,0.0
371,10408088800402020,train,0.0
372,10408088800402039,train,0.0
373,10408088800402054,test,1.0
374,10408088800402080,train,0.0
375,10408088800402098,train,1.0
376,10408088800402116,test,0.0
377,10408088800402135,train,0.0
378,10408088800402155,train,0.0
379,10408088800402167,train,0.0
380,10408088800402173,test,0.0
381,10409010100306001,train,0.0
382,10409010100306012,train,0.0
383,10409010100306034,test,0.0
384,10409010100306045,test,0.0
385,10409010100306056,train,0.0
386,10409010100306078,train,0.0
387,10409010100306089,test,0.0
388,10409010100306100,train,0.0
389,10409010100306111,train,1.0
390,10409010100306122,test,1.0
391,10409010100306133,train,0.0
392,10409010100306144,train,0.0
393,10409010100306155,train,0.0
394,10501020100105007,train,0.0
395,10501020100105019,test,0.0
396,10501020100105031,train,0.0
397,10501020100105043,test,0.0
398,10501020100105055,train,1.0
399,10501020100105067,train,0.0
400,10501020100105079,train,0.0
401,10501020100105103,train,0.0
402,10501020100105115,train,0.0
403,10501020100105127,test,0.0
404,10501020100105139,train,0.0
405,10501020100105151,train,0.0
406,10501020100105163,train,0.0
407,10501020100105175,train,0.0
408,10501088800105005,train,0.0
409,10501088800105031,train,0.0
410,10501088800105037,test,0.0
411,10501088800105053,test,0.0
412,10501088800105075,test,0.0
413,10501088800105077,train,1.0
414,10501088800105091,test,0.0
415,10501088800105110,train,0.0
416,10501088800105136,train,0.0
417,10501088800105153,train,0.0
418,10501088800105174,test,0.0
419,10501088800105200,train,0.0
420,10502088800201004,train,0.0
421,10502088800201022,train,1.0
422,10502088800201027,train,1.0
423,10502088800201041,train,0.0
424,10502088800201057,train,1.0
425,10502088800201078,train,1.0
426,10502088800201099,test,0.0
427,10502088800201120,train,0.0
428,10502088800201142,test,1.0
429,10502088800201163,test,1.0
430,10502088800201184,test,0.0
431,10502088800201205,train,0.0
432,10502088800712002,train,0.0
433,10502088800712020,train,0.0
434,10502088800712035,test,0.0
435,10502088800712040,test,0.0
436,10502088800712054,train,0.0
437,10502088800712064,train,0.0
438,10502088800712073,test,0.0
439,10502088800712082,test,0.0
440,10502088800712091,train,0.0
441,10502088800712100,train,0.0
442,10502088800712110,train,0.0
443,10502088800712138,train,0.0
444,10502088801503002,test,0.0
445,10502088801503015,train,0.0
446,10502088801503021,train,0.0
447,10502088801503026,train,1.0
448,10502088801503040,train,0.0
449,10502088801503058,test,0.0
450,10502088801503076,test,0.0
451,10502088801503094,train,0.0
452,10502088801503112,train,0.0
453,10502088801503130,test,1.0
454,10502088801503148,train,0.0
455,10502088801503167,test,0.0
456,10503088801501011,test,0.0
457,10503088801501062,train,0.0
458,10503088801501114,train,0.0
459,10503088801501183,train,0.0
460,10503088801501236,test,0.0
461,10503088801501306,train,0.0
462,10503088801501372,train,0.0
463,10503088801501503,train,0.0
464,10503088801501572,test,0.0
465,10503088802304003,test,0.0
466,10503088802304015,train,0.0
467,10503088802304021,test,0.0
468,10503088802304039,train,0.0
469,10503088802304053,train,0.0
470,10503088802304057,test,0.0
471,10503088802304075,train,0.0
472,10503088802304094,test,0.0
473,10503088802304112,test,0.0
474,10503088802304130,train,0.0
475,10503088802304148,train,0.0
476,10503088802304166,train,0.0
477,10601010100224014,test,0.0
478,10601010100224029,train,0.0
479,10601010100224089,train,0.0
480,10601010100224104,train,0.0
481,10601010100224134,test,0.0
482,10601010100224149,train,0.0
483,10601010100224179,train,0.0
484,10601010100224194,train,0.0
485,10601010100224209,test,0.0
486,10601010100303003,train,1.0
487,10601010100303018,train,0.0
488,10601010100303033,train,0.0
489,10601010100303048,test,0.0
490,10601010100303063,test,0.0
491,10601010100303078,train,0.0
492,10601010100303093,train,0.0
493,10601010100303108,test,0.0
494,10601010100303123,train,0.0
495,10601010100303153,test,0.0
496,10601010100303168,train,0.0
497,10601010100303198,train,0.0
498,10601010100315005,test,0.0
499,10601010100315013,train,1.0
500,10601010100315017,test,0.0
501,10601010100315021,train,0.0
502,10601010100315029,train,0.0
503,10601010100315045,train,0.0
504,10601010100315053,train,0.0
505,10601010100315061,train,0.0
506,10601010100315069,test,0.0
507,10601010100315077,train,0.0
508,10601010100315085,train,0.0
509,10601010100315093,test,0.0
510,10601010100315101,train,0.0
511,10601010100315109,train,0.0
512,10601010100423001,train,0.0
513,10601010100423002,test,0.0
514,10601010100423003,train,0.0
515,10601010100423004,test,0.0
516,10601010100423005,train,0.0
517,10601010100423006,train,0.0
518,10601010100423007,train,0.0
519,10601010100423008,train,0.0
520,10601010100423009,test,0.0
521,10601010100423010,train,0.0
522,10601010100423011,train,0.0
523,10601010100423012,test,0.0
524,10601010100423013,test,0.0
525,10601010100423014,train,0.0
526,10601010100423015,train,0.0
527,10601010100532009,train,0.0
528,10601010100532021,test,0.0
529,10601010100532033,train,0.0
530,10601010100532057,test,0.0
531,10601010100532069,train,0.0
532,10601010100532081,train,0.0
533,10601010100532093,train,0.0
534,10601010100532105,train,0.0
535,10601010100532117,test,0.0
536,10601010100532129,train,0.0
537,10601010100532141,train,0.0
538,10601010100532153,test,0.0
539,10601010100532165,train,0.0
540,10601010100532177,train,0.0
541,10601010103701003,test,0.0
542,10601010103701022,train,0.0
543,10601010103701041,train,0.0
544,10601010103701060,train,0.0
545,10601010103701098,test,0.0
546,10601010103701117,train,0.0
547,10601010103701136,train,1.0
548,10601010103701174,train,0.0
549,10601010103701212,train,0.0
550,10601010103701250,test,0.0
551,10601010103701269,test,0.0
552,10602010100113005,test,0.0
553,10602010100113014,test,0.0
554,10602010100113023,train,0.0
555,10602010100113041,test,0.0
556,10602010100113050,train,0.0
557,10602010100113059,train,0.0
558,10602010100113068,train,0.0
559,10602010100113077,test,0.0
560,10602010100113086,train,0.0
561,10602010100113095,train,0.0
562,10602010100113113,train,0.0
563,10602010100113131,train,0.0
564,10602010100519007,train,0.0
565,10602010100519019,test,0.0
566,10602010100519031,test,1.0
567,10602010100519043,train,0.0
568,10602010100519055,test,0.0
569,10602010100519076,train,0.0
570,10602010100519079,train,0.0
571,10602010100519091,train,0.0
572,10602010100519103,train,0.0
573,10602010100519115,test,0.0
574,10602010100519127,train,0.0
575,10602010100519139,train,0.0
576,10602010100519151,test,0.0
577,10602010100519163,train,0.0
578,10602010100519175,train,0.0
579,20102010100102008,test,0.0
580,20102010100102019,test,0.0
581,20102010100102041,train,0.0
582,20102010100102052,train,0.0
583,20102010100102063,test,0.0
584,20102010100102085,train,0.0
585,20102010100102096,test,0.0
586,20102010100102107,train,0.0
587,20102010100102118,train,0.0
588,20102010100102129,train,0.0
589,20102010100102141,test,0.0
590,20103010100204004,test,0.0
591,20103010100204015,test,0.0
592,20103010100204026,train,0.0
593,20103010100204037,test,0.0
594,20103010100204059,train,0.0
595,20103010100204070,train,0.0
596,20103010100204081,train,0.0
597,20103010100204114,test,0.0
598,20103010100204125,train,0.0
599,20103010100204136,train,0.0
600,20103010100204147,train,0.0
601,20103010100204158,train,0.0
602,20103088800102004,test,0.0
603,20103088800102014,test,0.0
604,20103088800102019,train,0.0
605,20103088800102034,test,0.0
606,20103088800102049,train,0.0
607,20103088800102064,train,0.0
608,20103088800102079,train,0.0
609,20103088800102094,test,0.0
610,20103088800102109,train,0.0
611,20103088800102117,train,0.0
612,20103088800102125,train,0.0
613,20103088800102140,train,0.0
614,20103088800601003,test,0.0
615,20103088800601022,train,0.0
616,20103088800601040,train,0.0
617,20103088800601052,train,0.0
618,20103088800601079,test,0.0
619,20103088800601097,train,0.0
620,20103088800601115,test,0.0
621,20103088800601133,train,0.0
622,20103088800601151,train,0.0
623,20103088800601171,train,0.0
624,20103088800802007,test,0.0
625,20103088800802042,test,0.0
626,20103088800802066,train,0.0
627,20103088800802069,test,0.0
628,20103088800802078,train,0.0
629,20103088800802113,train,0.0
630,20103088800802147,train,0.0
631,20103088800802181,test,0.0
632,20103088800802217,train,0.0
633,20103088800802250,train,0.0
634,20103088800802283,train,0.0
635,20103088800802316,train,0.0
636,20104088800201006,train,1.0
637,20104088800201024,train,0.0
638,20104088800201044,train,0.0
639,20104088800201062,test,0.0
640,20104088800201067,test,0.0
641,20104088800201079,train,0.0
642,20104088800201083,train,0.0
643,20104088800201101,test,0.0
644,20104088800201119,train,0.0
645,20104088800201137,test,0.0
646,20104088800201155,train,1.0
647,20104088800201173,train,0.0
648,20105088800404001,test,0.0
649,20105088800404004,train,0.0
650,20105088800404007,train,0.0
651,20105088800404010,train,1.0
652,20105088800404013,train,0.0
653,20105088800404016,test,0.0
654,20105088800404019,train,0.0
655,20105088800404022,test,0.0
656,20105088800404024,train,0.0
657,20105088800404025,train,0.0
658,20105088800404028,train,0.0
659,20105088800404032,test,0.0
660,20105088801103002,test,0.0
661,20105088801103008,train,0.0
662,20105088801103014,train,0.0
663,20105088801103026,train,0.0
664,20105088801103044,test,0.0
665,20105088801103064,train,0.0
666,20105088801103091,train,0.0
667,20105088801103111,train,0.0
668,20105088801103113,test,0.0
669,20106088800402004,train,0.0
670,20106088800402017,train,0.0
671,20106088800402029,test,0.0
672,20106088800402041,test,0.0
673,20106088800402054,train,0.0
674,20106088800402066,train,0.0
675,20106088800402077,test,0.0
676,20106088800402080,train,0.0
677,20106088800402092,train,0.0
678,20106088800402104,train,0.0
679,20106088800402116,train,0.0
680,20301030100101016,train,1.0
681,20301030100101028,train,0.0
682,20301030100101064,test,0.0
683,20301030100101076,test,0.0
684,20301030100101088,train,0.0
685,20301030100101112,train,0.0
686,20302088800102002,test,0.0
687,20302088800102011,train,0.0
688,20302088800102020,train,0.0
689,20302088800102029,train,0.0
690,20302088800102038,test,0.0
691,20302088800102047,train,0.0
692,20302088800102057,test,0.0
693,20302088800102062,test,0.0
694,20302088800102071,train,0.0
695,20302088800102080,train,0.0
696,20302088800102089,test,0.0
697,20304088800601002,test,0.0
698,20304088800601012,test,0.0
699,20304088800601017,train,0.0
700,20304088800601032,train,0.0
701,20304088800601047,test,0.0
702,20304088800601062,train,0.0
703,20304088800601077,test,0.0
704,20304088800601107,test,0.0
705,20304088800601122,test,0.0
706,20304088800601137,train,0.0
707,20304088800601158,train,0.0
708,20304088800601160,test,0.0
709,20306088800601006,train,1.0
710,20306088800601018,train,1.0
711,20306088800601024,test,1.0
712,20306088800601032,test,1.0
713,20306088800601044,train,1.0
714,20306088800601062,train,1.0
715,20306088800601080,test,1.0
716,20306088800601098,train,1.0
717,20306088800601116,train,1.0
718,20306088800601134,test,0.0
719,20306088800601152,train,1.0
720,20306088800601170,train,1.0
721,30101088800204002,train,1.0
722,30101088800204020,train,1.0
723,30101088800204028,test,1.0
724,30101088800204040,train,0.0
725,30101088800204058,train,1.0
726,30101088800204061,test,0.0
727,30101088800204077,test,0.0
728,30101088800204114,train,1.0
729,30101088800204132,train,1.0
730,30101088800204150,train,0.0
731,30101088800204168,test,1.0
732,30104088800901006,train,1.0
733,30104088800901014,train,1.0
734,30104088800901030,test,1.0
735,30104088800901054,train,0.0
736,30104088800901078,test,0.0
737,30104088800901102,train,0.0
738,30104088800901126,train,1.0
739,30104088800901150,test,1.0
740,30104088800901199,train,1.0
741,30104088800901223,test,0.0
742,30108088800701005,test,0.0
743,30108088800701020,train,0.0
744,30108088800701035,train,1.0
745,30108088800701050,train,1.0
746,30108088800701065,train,0.0
747,30108088800701080,test,1.0
748,30108088800701095,train,0.0
749,30108088800701110,test,0.0
750,30108088800701125,train,0.0
751,30108088800701140,train,0.0
752,30108088800701157,train,0.0
753,30108088800701159,test,0.0
754,30109020100112003,train,0.0
755,30109020100112013,train,0.0
756,30109020100112023,test,0.0
757,30109020100112033,test,0.0
758,30109020100112043,test,1.0
759,30109020100112053,train,0.0
760,30109020100112063,train,0.0
761,30109020100112073,test,0.0
762,30109020100112083,train,0.0
763,30109020100112093,train,0.0
764,30109020100112103,train,1.0
765,30109020100112113,train,1.0
766,30109020100112123,train,0.0
767,30109020100112133,test,1.0
768,30109020100112143,train,0.0
769,30110088801806002,train,1.0
770,30110088801806021,train,1.0
771,30110088801806040,train,1.0
772,30110088801806059,test,1.0
773,30110088801806069,test,0.0
774,30110088801806079,train,1.0
775,30110088801806098,train,1.0
776,30110088801806117,train,0.0
777,30110088801806136,train,1.0
778,30110088801806153,train,0.0
779,30110088801806157,test,1.0
780,30110088801806177,test,0.0
781,30111088800102043,train,0.0
782,30111088800102062,test,1.0
783,30111088800102081,train,1.0
784,30111088800102100,test,0.0
785,30111088800102119,train,0.0
786,30111088800102138,train,1.0
787,30111088800102157,train,1.0
788,30111088800102176,train,0.0
789,30111088800102195,train,0.0
790,30111088800102214,test,1.0
791,30112088800203003,train,0.0
792,30112088800203011,train,0.0
793,30112088800203015,train,0.0
794,30112088800203023,test,0.0
795,30112088800203027,train,0.0
796,30112088800203039,test,1.0
797,30112088800203051,train,0.0
798,30112088800203075,test,1.0
799,30112088800203087,train,0.0
800,30112088800203099,test,1.0
801,30112088800203111,test,0.0
802,30114088800816008,train,0.0
803,30114088800816023,train,1.0
804,30114088800816041,train,0.0
805,30114088800816077,test,0.0
806,30114088800816091,test,1.0
807,30114088800816096,test,0.0
808,30114088800816114,train,0.0
809,30114088800816132,train,1.0
810,30114088800816138,train,0.0
811,30114088800816152,train,0.0
812,30114088800816170,test,0.0
813,30116088802804005,train,0.0
814,30116088802804013,train,1.0
815,30116088802804055,train,1.0
816,30116088802804074,train,0.0
817,30116088802804080,train,0.0
818,30116088802804105,test,0.0
819,30116088802804129,train,0.0
820,30116088802804153,test,1.0
821,30116088802804178,train,0.0
822,30116088802804202,train,0.0
823,30116088802804226,test,0.0
824,30118010100610042,test,0.0
825,30118010100610053,train,0.0
826,30118010100610064,train,0.0
827,30118010100610086,train,1.0
828,30118010100610097,train,0.0
829,30118010100610108,test,0.0
830,30118010100610119,train,0.0
831,30118010100610130,test,0.0
832,30118010100610141,train,0.0
833,30118010100610152,train,0.0
834,30118010100610163,train,0.0
835,30118010101204018,test,0.0
836,30118010101204025,test,0.0
837,30118010101204032,train,0.0
838,30118010101204039,train,0.0
839,30118010101204046,train,0.0
840,30118010101204053,train,0.0
841,30118010101204060,train,0.0
842,30118010101204067,test,0.0
843,30118010101204074,train,0.0
844,30118010101204081,train,0.0
845,30118010101204088,test,0.0
846,30118010101204095,train,0.0
847,30118010101204102,train,0.0
848,30118010102006001,train,0.0
849,30118010102006019,test,0.0
850,30118010102006037,train,0.0
851,30118010102006055,test,0.0
852,30118010102006073,train,0.0
853,30118010102006091,train,0.0
854,30118010102006109,train,0.0
855,30118010102006127,train,0.0
856,30118010102006145,test,0.0
857,30118010102006181,train,0.0
858,30118010102006199,train,0.0
859,30118010102006217,test,0.0
860,30118010102006235,train,0.0
861,30118010102006253,train,0.0
862,30120020100105017,train,0.0
863,30120020100105036,train,0.0
864,30120020100105055,test,0.0
865,30120020100105074,test,0.0
866,30120020100105093,train,1.0
867,30120020100105112,train,0.0
868,30120020100105131,train,0.0
869,30120020100105150,train,0.0
870,30120020100105169,train,1.0
871,30120020100105188,test,0.0
872,30120020100105207,test,1.0
873,30120020100105226,train,1.0
874,30201088800703001,train,1.0
875,30201088800703019,train,1.0
876,30201088800703037,test,0.0
877,30201088800703055,train,0.0
878,30201088800703073,train,0.0
879,30201088800703091,train,0.0
880,30201088800703110,test,0.0
881,30201088800703111,train,0.0
882,30201088800703129,test,0.0
883,30201088800703147,train,0.0
884,30201088800703165,train,0.0
885,30202088802508005,train,1.0
886,30202088802508017,test,0.0
887,30202088802508023,train,0.0
888,30202088802508035,train,0.0
889,30202088802508041,train,0.0
890,30202088802508059,train,0.0
891,30202088802508077,test,1.0
892,30202088802508095,test,0.0
893,30202088802508113,train,1.0
894,30202088802508131,train,1.0
895,30202088802508149,train,1.0
896,30202088802508167,test,0.0
897,30204088800906003,train,1.0
898,30204088800906013,train,1.0
899,30204088800906018,test,1.0
900,30204088800906033,train,0.0
901,30204088800906048,train,0.0
902,30204088800906063,train,0.0
903,30204088800906078,train,1.0
904,30204088800906093,test,1.0
905,30204088800906108,train,0.0
906,30204088800906123,train,1.0
907,30204088800906138,test,0.0
908,30204088800906160,test,0.0
909,30205088801907002,train,0.0
910,30205088801907018,train,0.0
911,30205088801907033,test,0.0
912,30205088801907049,test,0.0
913,30205088801907066,train,0.0
914,30205088801907081,train,0.0
915,30205088801907096,test,0.0
916,30205088801907112,train,0.0
917,30205088801907128,train,0.0
918,30205088801907143,train,0.0
919,30205088801907173,train,0.0
920,30207010100110003,train,0.0
921,30207010100110014,test,0.0
922,30207010100110025,train,0.0
923,30207010100110036,test,0.0
924,30207010100110047,train,0.0
925,30207010100110058,train,0.0
926,30207010100110069,train,0.0
927,30207010100110080,train,0.0
928,30207010100110091,test,0.0
929,30207010100110102,train,0.0
